2theta,Intensity
10,6
10.02,8
10.04,8
10.06,6
10.08,7
10.1,5
10.12,5
10.14,9
10.16,8
10.18,4
10.2,5
10.22,7
10.24,7
10.26,5
10.28,4
10.3,6
10.32,8
10.34,6
10.36,6
10.38,6
10.4,9
10.42,8
10.44,5
10.46,6
10.48,7
10.5,5
10.52,5
10.54,7
10.56,6
10.58,5
10.6,7
10.62,5
10.64,2
10.66,3
10.68,7
10.7,7
10.72,6
10.74,4
10.76,5
10.78,5
10.8,6
10.82,7
10.84,7
10.86,5
10.88,6
10.9,4
10.92,3
10.94,5
10.96,5
10.98,4
11,5
11.02,7
11.04,5
11.06,2
11.08,4
11.1,5
11.12,3
11.14,2
11.16,5
11.18,6
11.2,4
11.22,5
11.24,5
11.26,5
11.28,7
11.3,9
11.32,9
11.34,2
11.36,3
11.38,5
11.4,5
11.42,4
11.44,4
11.46,4
11.48,6
11.5,4
11.52,8
11.54,8
11.56,5
11.58,8
11.6,9
11.62,9
11.64,7
11.66,4
11.68,5
11.7,4
11.72,3
11.74,4
11.76,4
11.78,2
11.8,3
11.82,5
11.84,5
11.86,5
11.88,3
11.9,5
11.92,4
11.94,8
11.96,4
11.98,4
12,5
12.02,4
12.04,4
12.06,5
12.08,4
12.1,5
12.12,7
12.14,10
12.16,6
12.18,6
12.2,6
12.22,5
12.24,5
12.26,6
12.28,7
12.3,6
12.32,5
12.34,6
12.36,5
12.38,7
12.4,8
12.42,3
12.44,5
12.46,3
12.48,4
12.5,5
12.52,6
12.54,6
12.56,6
12.58,6
12.6,4
12.62,6
12.64,3
12.66,4
12.68,5
12.7,2
12.72,6
12.74,5
12.76,8
12.78,7
12.8,6
12.82,6
12.84,2
12.86,5
12.88,5
12.9,4
12.92,4
12.94,2
12.96,1
12.98,3
13,5
13.02,6
13.04,4
13.06,4
13.08,6
13.1,8
13.12,4
13.14,3
13.16,7
13.18,5
13.2,4
13.22,2
13.24,3
13.26,5
13.28,6
13.3,9
13.32,4
13.34,2
13.36,4
13.38,6
13.4,4
13.42,4
13.44,4
13.46,2
13.48,9
13.5,6
13.52,5
13.54,6
13.56,3
13.58,8
13.6,5
13.62,4
13.64,6
13.66,3
13.68,4
13.7,2
13.72,4
13.74,6
13.76,2
13.78,4
13.8,7
13.82,10
13.84,8
13.86,2
13.88,6
13.9,6
13.92,10
13.94,8
13.96,3
13.98,6
14,5
14.02,8
14.04,4
14.06,7
14.08,4
14.1,6
14.12,5
14.14,5
14.16,7
14.18,7
14.2,6
14.22,4
14.24,8
14.26,7
14.28,4
14.3,5
14.32,3
14.34,6
14.36,6
14.38,6
14.4,8
14.42,4
14.44,6
14.46,6
14.48,6
14.5,7
14.52,4
14.54,3
14.56,3
14.58,3
14.6,5
14.62,4
14.64,4
14.66,8
14.68,7
14.7,4
14.72,5
14.74,7
14.76,7
14.78,4
14.8,2
14.82,6
