2theta,Intensity
10,4
10.02,6
10.04,6
10.06,6
10.08,5
10.1,4
10.12,4
10.14,6
10.16,8
10.18,6
10.2,5
10.22,6
10.24,5
10.26,2
10.28,5
10.3,6
10.32,3
10.34,6
10.36,8
10.38,5
10.4,6
10.42,7
10.44,6
10.46,5
10.48,6
10.5,7
10.52,6
10.54,7
10.56,9
10.58,9
10.6,10
10.62,7
10.64,4
10.66,5
10.68,4
10.7,6
10.72,7
10.74,7
10.76,6
10.78,6
10.8,7
10.82,6
10.84,6
10.86,5
10.88,2
10.9,7
10.92,8
10.94,5
10.96,6
10.98,7
11,6
11.02,3
11.04,5
11.06,6
11.08,7
11.1,5
11.12,6
11.14,7
11.16,8
11.18,7
11.2,8
11.22,7
11.24,6
11.26,7
11.28,6
11.3,3
11.32,4
11.34,7
11.36,8
11.38,7
11.4,8
11.42,9
11.44,8
11.46,7
11.48,6
11.5,7
11.52,6
11.54,8
11.56,8
11.58,6
11.6,6
11.62,7
11.64,5
11.66,5
11.68,5
11.7,7
11.72,4
11.74,3
11.76,6
11.78,5
11.8,4
11.82,5
11.84,6
11.86,7
11.88,8
11.9,8
11.92,8
11.94,5
11.96,5
11.98,5
12,5
12.02,5
12.04,7
12.06,9
12.08,8
12.1,8
12.12,9
12.14,13
12.16,11
12.18,15
12.2,13
12.22,15
12.24,18
12.26,17
12.28,24
12.3,26
12.32,33
12.34,33
12.36,35
12.38,32
12.4,26
12.42,26
12.44,19
12.46,18
12.48,13
12.5,14
12.52,17
12.54,12
12.56,15
12.58,8
12.6,10
12.62,13
12.64,10
12.66,13
12.68,11
12.7,17
12.72,16
12.74,18
12.76,18
12.78,27
12.8,31
12.82,39
12.84,53
12.86,45
12.88,52
12.9,42
12.92,42
12.94,35
12.96,27
12.98,15
13,12
13.02,10
13.04,8
13.06,9
13.08,14
13.1,9
13.12,10
13.14,7
13.16,9
13.18,9
13.2,6
13.22,8
13.24,10
13.26,10
13.28,11
13.3,6
13.32,9
13.34,11
13.36,5
13.38,9
13.4,7
13.42,8
13.44,7
13.46,9
13.48,6
13.5,10
13.52,4
13.54,7
13.56,6
13.58,10
13.6,8
13.62,10
13.64,4
13.66,7
13.68,8
13.7,7
13.72,12
13.74,8
13.76,11
13.78,9
13.8,7
13.82,4
13.84,8
13.86,13
13.88,15
13.9,15
13.92,10
13.94,17
13.96,9
13.98,17
14,11
14.02,9
14.04,10
14.06,14
14.08,11
14.1,22
14.12,21
14.14,22
14.16,23
14.18,19
14.2,16
14.22,34
14.24,29
14.26,35
14.28,33
14.3,46
14.32,35
14.34,43
14.36,36
14.38,34
14.4,37
14.42,22
14.44,24
14.46,13
14.48,17
14.5,14
14.52,14
14.54,16
14.56,15
14.58,11
14.6,9
14.62,17
14.64,18
14.66,20
14.68,12
14.7,13
14.72,11
14.74,13
14.76,11
14.78,12
14.8,11
14.82,15
14.84,15
14.86,18
14.88,9
14.9,4
14.92,12
14.94,15
14.96,9
14.98,19
15,6
15.02,8
15.04,8
15.06,11
15.08,8
15.1,5
15.12,6
15.14,11
15.16,4
15.18,13
15.2,8
15.22,7
15.24,11
15.26,7
15.28,8
15.3,10
15.32,10
15.34,10
15.36,2
15.38,6
15.4,5
15.42,6
15.44,11
15.46,17
15.48,14
15.5,9
15.52,12
15.54,11
15.56,13
15.58,18
15.6,15
15.62,13
15.64,15
15.66,12
15.68,13
15.7,12
15.72,19
15.74,18
15.76,16
15.78,23
15.8,22
15.82,29
15.84,37
15.86,42
15.88,46
15.9,58
15.92,55
15.94,61
15.96,67
15.98,79
16,75
16.02,68
16.04,60
16.06,73
16.08,65
16.1,28
16.12,23
16.14,20
16.16,14
16.18,14
16.2,17
16.22,13
16.24,11
16.26,15
16.28,6
16.3,7
16.32,12
16.34,16
16.36,6
16.38,5
16.4,7
16.42,11
16.44,9
16.46,7
16.48,9
16.5,15
16.52,16
16.54,17
16.56,9
16.58,18
16.6,12
16.62,14
16.64,11
16.66,15
