2theta,Intensity
10,3.33333
10.02,8.33333
10.04,8.33333
10.06,5
10.08,5
10.1,5.83333
10.12,6.66667
10.14,5
10.16,5
10.18,5
10.2,5.83333
10.22,6.66667
10.24,5.83333
10.26,8.33333
10.28,9.16667
10.3,6.66667
10.32,3.33333
10.34,2.5
10.36,4.16667
10.38,7.5
10.4,7.5
10.42,6.66667
10.44,5
10.46,5.83333
10.48,6.66667
10.5,7.5
10.52,8.33333
10.54,8.33333
10.56,7.5
10.58,5
10.6,5
10.62,4.16667
10.64,5.83333
10.66,5
10.68,4.16667
10.7,5
10.72,4.16667
10.74,4.16667
10.76,5.83333
10.78,8.33333
10.8,8.33333
10.82,5
10.84,2.5
10.86,4.16667
10.88,6.66667
10.9,7.5
10.92,5
10.94,5
10.96,6.66667
10.98,6.66667
11,5.83333
11.02,5.83333
11.04,8.33333
11.06,7.5
11.08,5
11.1,7.5
11.12,9.16667
11.14,5.83333
11.16,3.33333
11.18,7.5
11.2,9.16667
11.22,5.83333
11.24,4.16667
11.26,4.16667
11.28,4.16667
11.3,5
11.32,5.83333
11.34,6.66667
11.36,4.16667
11.38,5.83333
11.4,5
11.42,5.83333
11.44,5
11.46,5
11.48,7.5
11.5,8.33333
11.52,6.66667
11.54,6.66667
11.56,6.66667
11.58,7.5
11.6,6.66667
11.62,7.5
11.64,7.5
11.66,5
11.68,5
11.7,7.5
11.72,7.5
11.74,6.66667
11.76,9.16667
11.78,5.83333
11.8,6.66667
11.82,6.66667
11.84,4.16667
11.86,5
11.88,5.83333
11.9,7.5
11.92,5
11.94,5
11.96,6.66667
11.98,7.5
12,5
12.02,5
12.04,6.66667
12.06,7.5
12.08,5
12.1,4.16667
12.12,4.16667
12.14,4.16667
12.16,5.83333
12.18,6.66667
12.2,4.16667
12.22,3.33333
12.24,1.66667
12.26,3.33333
12.28,5.83333
12.3,4.16667
12.32,4.16667
12.34,4.16667
12.36,2.5
12.38,3.33333
12.4,5.83333
12.42,4.16667
12.44,4.16667
12.46,6.66667
12.48,9.16667
12.5,10.8333
12.52,8.33333
12.54,5
12.56,9.16667
12.58,5.83333
12.6,3.33333
12.62,5
12.64,4.16667
12.66,4.16667
12.68,5.83333
12.7,6.66667
12.72,7.5
12.74,3.33333
12.76,5
12.78,7.5
12.8,2.5
12.82,3.33333
12.84,3.33333
12.86,5.83333
12.88,5
12.9,8.33333
12.92,4.16667
12.94,2.5
12.96,5
12.98,3.33333
13,4.16667
13.02,7.5
13.04,5
13.06,7.5
13.08,9.16667
13.1,8.33333
13.12,4.16667
13.14,7.5
13.16,9.16667
13.18,7.5
13.2,8.33333
13.22,8.33333
13.24,6.66667
13.26,3.33333
13.28,6.66667
13.3,5.83333
13.32,4.16667
13.34,1.66667
13.36,4.16667
13.38,6.66667
13.4,5
13.42,3.33333
13.44,4.16667
13.46,5.83333
13.48,5.83333
13.5,8.33333
13.52,5.83333
13.54,1.66667
13.56,4.16667
13.58,5
13.6,2.5
13.62,2.5
13.64,5.83333
13.66,8.33333
13.68,5
13.7,6.66667
13.72,4.16667
13.74,3.33333
13.76,0.833333
13.78,3.33333
13.8,5.83333
13.82,5.83333
13.84,6.66667
13.86,4.16667
13.88,0.833333
13.9,5
13.92,3.33333
13.94,5
13.96,3.33333
13.98,4.16667
14,8.33333
14.02,6.66667
14.04,5
14.06,4.16667
14.08,3.33333
14.1,5
14.12,6.66667
14.14,5
14.16,5.83333
14.18,2.5
14.2,8.33333
14.22,3.33333
14.24,5.83333
14.26,4.16667
14.28,4.16667
14.3,10
14.32,6.66667
14.34,5.83333
14.36,6.66667
14.38,4.16667
14.4,5.83333
14.42,6.66667
14.44,5.83333
14.46,10
14.48,3.33333
14.5,7.5
14.52,3.33333
14.54,5.83333
14.56,6.66667
14.58,4.16667
14.6,4.16667
14.62,5.83333
14.64,5.83333
14.66,5
14.68,8.33333
14.7,7.5
14.72,7.5
14.74,4.16667
14.76,8.33333
14.78,10
14.8,5.83333
14.82,3.33333
14.84,3.33333
14.86,4.16667
14.88,5
14.9,5
14.92,6.66667
14.94,4.16667
14.96,3.33333
14.98,3.33333
15,5
15.02,7.5
15.04,11.6667
15.06,3.33333
15.08,5
15.1,4.16667
15.12,3.33333
15.14,5
15.16,8.33333
15.18,4.16667
15.2,7.5
15.22,9.16667
15.24,3.33333
15.26,5
15.28,10
15.3,4.16667
15.32,3.33333
15.34,5
15.36,4.16667
15.38,2.5
15.4,2.5
15.42,5.83333
15.44,7.5
15.46,7.5
15.48,9.16667
15.5,3.33333
15.52,7.5
15.54,5
15.56,5
15.58,6.66667
15.6,6.66667
15.62,4.16667
15.64,8.33333
15.66,8.33333
15.68,2.5
15.7,4.16667
15.72,6.66667
15.74,3.33333
15.76,5
15.78,8.33333
15.8,6.66667
15.82,8.33333
15.84,7.5
15.86,5
15.88,6.66667
15.9,10
15.92,7.5
15.94,5
15.96,7.5
15.98,11.6667
16,8.33333
16.02,8.33333
16.04,5
16.06,5.83333
16.08,2.5
16.1,0.833333
16.12,6.66667
16.14,5
16.16,8.33333
16.18,9.16667
16.2,3.33333
16.22,2.5
16.24,5.83333
16.26,5.83333
16.28,5.83333
16.3,2.5
16.32,5.83333
16.34,4.16667
16.36,3.33333
16.38,8.33333
16.4,5
16.42,6.66667
16.44,3.33333
16.46,5
16.48,8.33333
16.5,8.33333
16.52,5.83333
16.54,5
16.56,6.66667
16.58,8.33333
16.6,6.66667
16.62,7.5
16.64,10
16.66,11.6667
16.68,5
16.7,6.66667
16.72,8.33333
16.74,7.5
16.76,7.5
16.78,5.83333
16.8,5.83333
16.82,4.16667
16.84,5.83333
16.86,7.5
16.88,8.33333
16.9,8.33333
16.92,9.16667
16.94,6.66667
16.96,10
16.98,8.33333
17,5.83333
17.02,4.16667
17.04,5.83333
17.06,7.5
17.08,2.5
17.1,4.16667
17.12,5
17.14,3.33333
17.16,4.16667
17.18,6.66667
17.2,5
17.22,4.16667
17.24,5.83333
17.26,6.66667
17.28,6.66667
17.3,7.5
17.32,8.33333
17.34,5
17.36,6.66667
17.38,5.83333
17.4,7.5
17.42,4.16667
17.44,7.5
17.46,10
17.48,6.66667
17.5,5.83333
17.52,7.5
17.54,4.16667
17.56,5.83333
17.58,6.66667
17.6,8.33333
17.62,9.16667
17.64,5
17.66,5.83333
17.68,5.83333
17.7,5.83333
17.72,6.66667
17.74,7.5
17.76,8.33333
17.78,10
17.8,9.16667
17.82,13.3333
17.84,10
17.86,9.16667
17.88,8.33333
17.9,7.5
17.92,10.8333
17.94,11.6667
17.96,8.33333
17.98,4.16667
18,4.16667
18.02,10
18.04,8.33333
18.06,7.5
18.08,4.16667
18.1,5
18.12,5
18.14,7.5
18.16,7.5
18.18,6.66667
18.2,6.66667
18.22,5.83333
18.24,5.83333
18.26,3.33333
18.28,5.83333
18.3,6.66667
18.32,5.83333
18.34,5
18.36,8.33333
18.38,6.66667
18.4,5.83333
18.42,6.66667
18.44,5.83333
18.46,6.66667
18.48,5.83333
18.5,9.16667
18.52,8.33333
18.54,6.66667
18.56,6.66667
18.58,7.5
18.6,7.5
18.62,8.33333
18.64,5.83333
18.66,6.66667
18.68,8.33333
18.7,9.16667
18.72,6.66667
18.74,9.16667
18.76,9.16667
18.78,5.83333
18.8,7.5
18.82,9.16667
18.84,8.33333
18.86,8.33333
18.88,10
18.9,11.6667
18.92,9.16667
18.94,12.5
18.96,13.3333
18.98,15
19,13.3333
19.02,13.3333
19.04,12.5
19.06,12.5
19.08,10.8333
19.1,11.6667
19.12,9.16667
19.14,8.33333
19.16,7.5
19.18,4.16667
19.2,6.66667
19.22,8.33333
19.24,13.3333
19.26,10.8333
19.28,10
19.3,12.5
19.32,13.3333
19.34,13.3333
19.36,12.5
19.38,10
19.4,12.5
19.42,12.5
19.44,11.6667
19.46,7.5
19.48,6.66667
19.5,13.3333
19.52,11.6667
19.54,7.5
19.56,5.83333
19.58,5
19.6,4.16667
19.62,2.5
19.64,2.5
19.66,6.66667
19.68,9.16667
19.7,6.66667
19.72,4.16667
19.74,5
19.76,6.66667
19.78,7.5
19.8,7.5
19.82,6.66667
19.84,7.5
19.86,9.16667
19.88,10.8333
19.9,10
19.92,6.66667
19.94,6.66667
19.96,7.5
19.98,5
20,4.16667
20.02,6.66667
20.04,7.5
20.06,4.16667
20.08,5.83333
20.1,7.5
20.12,4.16667
20.14,5
20.16,6.66667
20.18,6.66667
20.2,7.5
20.22,5.83333
20.24,5
20.26,5
20.28,5.83333
20.3,5
20.32,6.66667
20.34,6.66667
20.36,5
20.38,5.83333
20.4,4.16667
20.42,5
20.44,5
20.46,5
20.48,6.66667
20.5,5.83333
20.52,5.83333
20.54,5
20.56,5
20.58,5
20.6,4.16667
20.62,5
20.64,7.5
20.66,6.66667
20.68,6.66667
20.7,7.5
20.72,6.66667
20.74,5
20.76,5.83333
20.78,5.83333
20.8,5.83333
20.82,8.33333
20.84,6.66667
20.86,5
20.88,5
20.9,4.16667
20.92,3.33333
20.94,2.5
20.96,2.5
20.98,5
21,6.66667
21.02,6.66667
21.04,5.83333
21.06,4.16667
21.08,5.83333
21.1,9.16667
21.12,10
21.14,6.66667
21.16,5.83333
21.18,6.66667
21.2,6.66667
21.22,7.5
21.24,6.66667
21.26,7.5
21.28,10.8333
21.3,13.3333
21.32,15.8333
21.34,15
21.36,14.1667
21.38,15
21.4,15
21.42,12.5
21.44,13.3333
21.46,12.5
21.48,11.6667
21.5,10.8333
21.52,9.16667
21.54,8.33333
21.56,6.66667
21.58,7.5
21.6,6.66667
21.62,5
21.64,4.16667
21.66,5
21.68,5.83333
21.7,7.5
21.72,8.33333
21.74,6.66667
21.76,5.83333
21.78,5.83333
21.8,5
21.82,5.83333
21.84,6.66667
21.86,5.83333
21.88,4.16667
21.9,4.16667
21.92,5.83333
21.94,6.66667
21.96,6.66667
21.98,5.83333
22,4.16667
22.02,5.83333
22.04,6.66667
22.06,5.83333
22.08,6.66667
22.1,5.83333
22.12,5
22.14,5.83333
22.16,6.66667
22.18,7.5
22.2,8.33333
22.22,9.16667
22.24,7.5
22.26,5.83333
22.28,6.66667
22.3,5
22.32,1.66667
22.34,3.33333
22.36,5
22.38,5
22.4,6.66667
22.42,5.83333
22.44,5.83333
22.46,6.66667
22.48,6.66667
22.5,8.33333
22.52,10
22.54,7.5
22.56,7.5
22.58,5.83333
22.6,6.66667
22.62,7.5
22.64,5.83333
22.66,8.33333
22.68,6.66667
22.7,3.33333
22.72,5
22.74,5
22.76,7.5
22.78,8.33333
22.8,7.5
22.82,5
22.84,5
22.86,3.33333
22.88,5
22.9,6.66667
22.92,5.83333
22.94,5.83333
22.96,4.16667
22.98,2.5
23,3.33333
23.02,6.66667
23.04,6.66667
23.06,7.5
23.08,7.5
23.1,4.16667
23.12,5.83333
23.14,5
23.16,8.33333
23.18,8.33333
23.2,5.83333
23.22,4.16667
23.24,3.33333
23.26,4.16667
23.28,4.16667
23.3,3.33333
23.32,5
23.34,5.83333
23.36,5.83333
23.38,5
23.4,3.33333
23.42,5.83333
23.44,3.33333
23.46,5
23.48,7.5
23.5,5.83333
23.52,5
23.54,6.66667
23.56,6.66667
23.58,5
23.6,6.66667
23.62,6.66667
23.64,5
23.66,7.5
23.68,5.83333
23.7,5.83333
23.72,5
23.74,5.83333
23.76,7.5
23.78,5.83333
23.8,9.16667
23.82,8.33333
23.84,4.16667
23.86,3.33333
23.88,5
23.9,5
23.92,3.33333
23.94,4.16667
23.96,4.16667
23.98,4.16667
24,5.83333
24.02,6.66667
24.04,4.16667
24.06,9.16667
24.08,4.16667
24.1,2.5
24.12,4.16667
24.14,5.83333
24.16,4.16667
24.18,0.833333
24.2,4.16667
24.22,5.83333
24.24,6.66667
24.26,2.5
24.28,4.16667
24.3,3.33333
24.32,5.83333
24.34,5
24.36,5.83333
24.38,10.8333
24.4,10
24.42,10
24.44,10.8333
24.46,12.5
24.48,8.33333
24.5,13.3333
24.52,16.6667
24.54,13.3333
24.56,16.6667
24.58,10.8333
24.6,20.8333
24.62,28.3333
24.64,20.8333
24.66,25
24.68,18.3333
24.7,12.5
24.72,10.8333
24.74,12.5
24.76,14.1667
24.78,15.8333
24.8,10
24.82,9.16667
24.84,10
24.86,7.5
24.88,7.5
24.9,7.5
24.92,5
24.94,5
24.96,6.66667
24.98,5.83333
25,5
25.02,5.83333
25.04,5.83333
25.06,6.66667
25.08,5.83333
25.1,7.5
25.12,6.66667
25.14,8.33333
25.16,9.16667
25.18,5.83333
25.2,5
25.22,4.16667
25.24,5.83333
25.26,6.66667
25.28,3.33333
25.3,7.5
25.32,8.33333
25.34,6.66667
25.36,7.5
25.38,6.66667
25.4,7.5
25.42,7.5
25.44,5
25.46,5.83333
25.48,4.16667
25.5,5.83333
25.52,3.33333
25.54,6.66667
25.56,6.66667
25.58,6.66667
25.6,3.33333
25.62,2.5
25.64,10.8333
25.66,8.33333
25.68,8.33333
25.7,7.5
25.72,12.5
25.74,11.6667
25.76,11.6667
25.78,10.8333
25.8,7.5
25.82,8.33333
25.84,7.5
25.86,8.33333
25.88,8.33333
25.9,5
25.92,5
25.94,7.5
25.96,5
25.98,8.33333
26,5
26.02,5.83333
26.04,7.5
26.06,10.8333
26.08,7.5
26.1,5
26.12,6.66667
26.14,2.5
26.16,5.83333
26.18,10
26.2,9.16667
26.22,5.83333
26.24,10.8333
26.26,5.83333
26.28,7.5
26.3,10.8333
26.32,6.66667
26.34,12.5
26.36,16.6667
26.38,10.8333
26.4,10
26.42,15.8333
26.44,11.6667
26.46,14.1667
26.48,19.1667
26.5,23.3333
26.52,20.8333
26.54,19.1667
26.56,30
26.58,26.6667
26.6,24.1667
26.62,19.1667
26.64,12.5
26.66,7.5
26.68,14.1667
26.7,8.33333
26.72,7.5
26.74,10
26.76,10
26.78,6.66667
26.8,8.33333
26.82,5.83333
26.84,6.66667
26.86,7.5
26.88,6.66667
26.9,4.16667
26.92,4.16667
26.94,4.16667
26.96,5.83333
26.98,0.833333
27,6.66667
27.02,5
27.04,5
27.06,3.33333
27.08,5.83333
27.1,9.16667
27.12,9.16667
27.14,0.833333
27.16,7.5
27.18,4.16667
27.2,5
27.22,11.6667
27.24,5.83333
27.26,9.16667
27.28,9.16667
27.3,7.5
27.32,6.66667
27.34,8.33333
27.36,10.8333
27.38,10
27.4,10.8333
27.42,10.8333
27.44,7.5
27.46,10.8333
27.48,7.5
27.5,2.5
