2theta,Intensity
10,10.8333
10.02,9.16667
10.04,7.5
10.06,5.83333
10.08,5
10.1,5
10.12,5
10.14,7.5
10.16,6.66667
10.18,5.83333
10.2,5
10.22,4.16667
10.24,6.66667
10.26,5
10.28,4.16667
10.3,6.66667
10.32,5.83333
10.34,4.16667
10.36,6.66667
10.38,8.33333
10.4,8.33333
10.42,6.66667
10.44,5.83333
10.46,5
10.48,3.33333
10.5,5.83333
10.52,6.66667
10.54,6.66667
10.56,9.16667
10.58,8.33333
10.6,5.83333
10.62,6.66667
10.64,6.66667
10.66,6.66667
10.68,7.5
10.7,7.5
10.72,8.33333
10.74,7.5
10.76,5.83333
10.78,6.66667
10.8,9.16667
10.82,8.33333
10.84,8.33333
10.86,7.5
10.88,5.83333
10.9,5.83333
10.92,3.33333
10.94,4.16667
10.96,8.33333
10.98,6.66667
11,5
11.02,5
11.04,5
11.06,6.66667
11.08,8.33333
11.1,9.16667
11.12,5.83333
11.14,4.16667
11.16,5
11.18,5.83333
11.2,8.33333
11.22,9.16667
11.24,8.33333
11.26,5.83333
11.28,6.66667
11.3,5.83333
11.32,7.5
11.34,10
11.36,8.33333
11.38,6.66667
11.4,5.83333
11.42,7.5
11.44,8.33333
11.46,7.5
11.48,5.83333
11.5,5
11.52,5.83333
11.54,11.6667
11.56,10.8333
11.58,8.33333
11.6,7.5
11.62,6.66667
11.64,6.66667
11.66,9.16667
11.68,8.33333
11.7,7.5
11.72,7.5
11.74,6.66667
11.76,6.66667
11.78,9.16667
11.8,6.66667
11.82,7.5
11.84,10.8333
11.86,5.83333
11.88,5.83333
11.9,6.66667
11.92,5.83333
11.94,5
11.96,5
11.98,7.5
12,7.5
12.02,5
12.04,5.83333
12.06,9.16667
12.08,9.16667
12.1,5.83333
12.12,7.5
12.14,9.16667
12.16,6.66667
12.18,5.83333
12.2,8.33333
12.22,11.6667
12.24,9.16667
12.26,7.5
12.28,8.33333
12.3,9.16667
12.32,10.8333
12.34,8.33333
12.36,10
12.38,11.6667
12.4,5.83333
12.42,6.66667
12.44,9.16667
12.46,8.33333
12.48,12.5
12.5,15
12.52,16.6667
12.54,7.5
12.56,6.66667
12.58,11.6667
12.6,6.66667
12.62,9.16667
12.64,9.16667
12.66,11.6667
12.68,7.5
12.7,7.5
12.72,7.5
12.74,8.33333
12.76,9.16667
12.78,10
12.8,9.16667
12.82,10.8333
12.84,11.6667
12.86,10.8333
12.88,6.66667
12.9,9.16667
12.92,10
12.94,8.33333
12.96,9.16667
12.98,18.3333
13,15.8333
13.02,15
13.04,17.5
13.06,20.8333
13.08,29.1667
13.1,21.6667
13.12,30
13.14,31.6667
13.16,33.3333
13.18,33.3333
13.2,28.3333
13.22,20
13.24,21.6667
13.26,18.3333
13.28,21.6667
13.3,10
13.32,8.33333
13.34,10
13.36,7.5
13.38,7.5
13.4,7.5
13.42,6.66667
13.44,12.5
13.46,7.5
13.48,5.83333
13.5,13.3333
13.52,8.33333
13.54,10.8333
13.56,10
13.58,10.8333
13.6,10
13.62,8.33333
13.64,11.6667
13.66,10.8333
13.68,9.16667
13.7,5
13.72,10.8333
13.74,10.8333
13.76,8.33333
13.78,10.8333
13.8,6.66667
13.82,10
13.84,5.83333
13.86,5
13.88,6.66667
13.9,10.8333
13.92,9.16667
13.94,8.33333
13.96,5
13.98,5.83333
14,7.5
14.02,5
14.04,5.83333
14.06,6.66667
14.08,8.33333
14.1,6.66667
14.12,10.8333
14.14,10.8333
14.16,10.8333
14.18,6.66667
14.2,5.83333
14.22,5.83333
14.24,7.5
14.26,5
14.28,6.66667
14.3,4.16667
14.32,9.16667
14.34,5.83333
14.36,5.83333
14.38,9.16667
14.4,11.6667
14.42,5.83333
14.44,7.5
14.46,6.66667
14.48,10
14.5,5.83333
14.52,7.5
14.54,8.33333
14.56,5
14.58,5.83333
14.6,5
14.62,5
14.64,8.33333
14.66,10
14.68,8.33333
14.7,5.83333
14.72,9.16667
14.74,9.16667
14.76,7.5
14.78,7.5
14.8,10.8333
14.82,10
14.84,13.3333
14.86,3.33333
14.88,5.83333
14.9,12.5
14.92,7.5
14.94,5
14.96,4.16667
14.98,13.3333
15,11.6667
15.02,7.5
15.04,4.16667
15.06,11.6667
15.08,7.5
15.1,7.5
15.12,5.83333
15.14,13.3333
15.16,5
15.18,10
15.2,7.5
15.22,10
15.24,9.16667
15.26,6.66667
15.28,5.83333
15.3,5.83333
15.32,6.66667
15.34,5
15.36,8.33333
15.38,10.8333
15.4,10
15.42,6.66667
15.44,11.6667
15.46,5.83333
15.48,8.33333
15.5,10
15.52,6.66667
15.54,10
15.56,10
15.58,9.16667
15.6,4.16667
15.62,7.5
15.64,13.3333
15.66,9.16667
15.68,8.33333
15.7,10
15.72,5
15.74,8.33333
15.76,9.16667
15.78,17.5
15.8,9.16667
15.82,12.5
15.84,10
15.86,14.1667
15.88,12.5
15.9,9.16667
15.92,9.16667
15.94,13.3333
15.96,10
15.98,14.1667
16,10
16.02,10
16.04,10
16.06,14.1667
16.08,11.6667
16.1,12.5
16.12,15
16.14,11.6667
16.16,12.5
16.18,15
16.2,11.6667
16.22,10.8333
16.24,11.6667
16.26,11.6667
16.28,10.8333
16.3,11.6667
16.32,11.6667
16.34,11.6667
16.36,15.8333
16.38,13.3333
16.4,9.16667
16.42,11.6667
16.44,15.8333
16.46,15
16.48,12.5
16.5,12.5
16.52,12.5
16.54,11.6667
16.56,12.5
16.58,13.3333
16.6,25
16.62,18.3333
16.64,20
16.66,17.5
16.68,27.5
16.7,37.5
16.72,47.5
16.74,49.1667
16.76,54.1667
16.78,56.6667
16.8,75.8333
16.82,65.8333
16.84,65
16.86,50
16.88,38.3333
16.9,34.1667
16.92,30
16.94,25
16.96,20
16.98,12.5
17,15.8333
17.02,12.5
17.04,14.1667
17.06,20
17.08,19.1667
17.1,23.3333
17.12,19.1667
17.14,23.3333
17.16,20
17.18,27.5
17.2,27.5
17.22,17.5
17.24,16.6667
17.26,18.3333
17.28,15
17.3,20.8333
17.32,20
17.34,20
17.36,18.3333
17.38,19.1667
17.4,20
17.42,20.8333
17.44,23.3333
17.46,18.3333
17.48,21.6667
17.5,21.6667
17.52,21.6667
17.54,21.6667
17.56,28.3333
17.58,31.6667
17.6,28.3333
17.62,33.3333
17.64,30.8333
17.66,30.8333
17.68,36.6667
17.7,37.5
17.72,49.1667
17.74,54.1667
17.76,61.6667
17.78,75.8333
17.8,83.3333
17.82,105
17.84,106.667
17.86,123.333
17.88,130.833
17.9,122.5
17.92,108.333
17.94,104.167
17.96,85.8333
17.98,51.6667
18,40.8333
18.02,30.8333
18.04,23.3333
18.06,20
18.08,22.5
18.1,19.1667
18.12,21.6667
18.14,14.1667
18.16,20
18.18,17.5
18.2,22.5
18.22,19.1667
18.24,12.5
18.26,15
18.28,17.5
18.3,16.6667
18.32,14.1667
18.34,15.8333
18.36,15
18.38,11.6667
18.4,13.3333
18.42,18.3333
18.44,18.3333
18.46,15.8333
18.48,15
18.5,17.5
18.52,15.8333
18.54,13.3333
18.56,19.1667
18.58,15.8333
18.6,16.6667
18.62,12.5
18.64,16.6667
18.66,17.5
18.68,17.5
18.7,20.8333
18.72,20.8333
18.74,19.1667
18.76,21.6667
18.78,24.1667
18.8,34.1667
18.82,42.5
18.84,40
18.86,42.5
18.88,55
18.9,75.8333
18.92,95.8333
18.94,121.667
18.96,138.333
18.98,181.667
19,210
19.02,250.833
19.04,284.167
19.06,297.5
19.08,306.667
19.1,275
19.12,233.333
19.14,176.667
19.16,141.667
19.18,108.333
19.2,69.1667
19.22,58.3333
19.24,57.5
19.26,60.8333
19.28,73.3333
19.3,90.8333
19.32,97.5
19.34,92.5
19.36,110
19.38,131.667
19.4,152.5
19.42,163.333
19.44,182.5
19.46,165
19.48,155.833
19.5,138.333
19.52,104.167
19.54,85.8333
19.56,68.3333
19.58,46.6667
19.6,33.3333
19.62,30
19.64,25
19.66,20.8333
19.68,18.3333
19.7,19.1667
19.72,16.6667
19.74,20
19.76,28.3333
19.78,22.5
19.8,15
19.82,16.6667
19.84,17.5
19.86,15.8333
19.88,12.5
19.9,16.6667
19.92,15
19.94,14.1667
19.96,19.1667
19.98,16.6667
20,15
20.02,15.8333
20.04,21.6667
20.06,19.1667
20.08,15
20.1,15
20.12,13.3333
20.14,11.6667
20.16,12.5
20.18,15.8333
20.2,20.8333
20.22,20.8333
20.24,22.5
20.26,28.3333
20.28,32.5
20.3,28.3333
20.32,29.1667
20.34,30.8333
20.36,30.8333
20.38,36.6667
20.4,41.6667
20.42,40
20.44,40
20.46,35
20.48,27.5
20.5,23.3333
20.52,18.3333
20.54,14.1667
20.56,11.6667
20.58,12.5
20.6,11.6667
20.62,10.8333
20.64,11.6667
20.66,10.8333
20.68,9.16667
20.7,10
20.72,13.3333
20.74,10
20.76,10.8333
20.78,12.5
20.8,9.16667
20.82,8.33333
20.84,10
20.86,12.5
20.88,13.3333
20.9,16.6667
20.92,15
20.94,12.5
20.96,13.3333
20.98,13.3333
21,13.3333
21.02,10.8333
21.04,11.6667
21.06,18.3333
21.08,20
21.1,20
21.12,22.5
21.14,21.6667
21.16,26.6667
21.18,25
21.2,23.3333
21.22,36.6667
21.24,49.1667
21.26,57.5
21.28,77.5
21.3,97.5
