2theta,Intensity
10,4
10.02,4
10.04,6.66667
10.06,8.66667
10.08,8
10.1,7.33333
10.12,6.66667
10.14,7.33333
10.16,6.66667
10.18,6.66667
10.2,4.66667
10.22,6
10.24,7.33333
10.26,5.33333
10.28,3.33333
10.3,4.66667
10.32,7.33333
10.34,6
10.36,4
10.38,6
10.4,6.66667
10.42,4.66667
10.44,4.66667
10.46,6
10.48,5.33333
10.5,6
10.52,5.33333
10.54,5.33333
10.56,6.66667
10.58,8
10.6,7.33333
10.62,7.33333
10.64,9.33333
10.66,10.6667
10.68,8.66667
10.7,5.33333
10.72,6
10.74,6
10.76,6.66667
10.78,8.66667
10.8,8.66667
10.82,7.33333
10.84,8
10.86,9.33333
10.88,8
10.9,5.33333
10.92,7.33333
10.94,6.66667
10.96,6.66667
10.98,9.33333
11,8
11.02,6.66667
11.04,6.66667
11.06,6
11.08,8
11.1,8
11.12,6
11.14,6
11.16,5.33333
11.18,4.66667
11.2,6
11.22,8
11.24,9.33333
11.26,8
11.28,6.66667
11.3,6
11.32,5.33333
11.34,5.33333
11.36,7.33333
11.38,8
11.4,8
11.42,8
11.44,6.66667
11.46,8.66667
11.48,8
11.5,5.33333
11.52,4.66667
11.54,5.33333
11.56,5.33333
11.58,6
11.6,6.66667
11.62,8
11.64,6.66667
11.66,6.66667
11.68,7.33333
11.7,8.66667
11.72,6.66667
11.74,8
11.76,8.66667
11.78,9.33333
11.8,5.33333
11.82,6
11.84,6
11.86,6.66667
11.88,8
11.9,8.66667
11.92,6.66667
11.94,5.33333
11.96,7.33333
11.98,6.66667
12,4
12.02,6.66667
12.04,8.66667
12.06,9.33333
12.08,8.66667
12.1,8.66667
12.12,8
12.14,10.6667
12.16,7.33333
12.18,8.66667
12.2,12.6667
12.22,8
12.24,6
12.26,10
12.28,12.6667
12.3,6.66667
12.32,8
12.34,10
12.36,8
12.38,8
12.4,8
12.42,8
12.44,10.6667
12.46,6
12.48,8.66667
12.5,8
12.52,8
12.54,6
12.56,7.33333
12.58,10.6667
12.6,11.3333
12.62,8.66667
12.64,11.3333
12.66,9.33333
12.68,10
12.7,8.66667
12.72,8.66667
12.74,11.3333
12.76,12
12.78,8.66667
12.8,11.3333
12.82,12.6667
12.84,8.66667
12.86,8.66667
12.88,9.33333
12.9,10.6667
12.92,10.6667
12.94,10
12.96,13.3333
12.98,14.6667
13,12
13.02,24
13.04,19.3333
13.06,26
13.08,25.3333
13.1,31.3333
13.12,29.3333
13.14,27.3333
13.16,22
13.18,24.6667
13.2,20
13.22,17.3333
13.24,12.6667
13.26,10
13.28,8
13.3,8.66667
13.32,8.66667
13.34,8.66667
13.36,8
13.38,10.6667
13.4,10.6667
13.42,8
13.44,8.66667
13.46,7.33333
13.48,12
13.5,8.66667
13.52,7.33333
13.54,9.33333
13.56,6.66667
13.58,5.33333
13.6,7.33333
13.62,9.33333
13.64,10
13.66,8.66667
13.68,7.33333
13.7,7.33333
13.72,6.66667
13.74,4.66667
13.76,5.33333
13.78,4
13.8,8.66667
