2theta,Intensity
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.6,0.0
9.7,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.1,0.0
10.2,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.6,0.0
10.7,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.1,0.0
11.2,0.0
11.3,0.0
11.4,0.0
11.5,0.0
11.6,0.0
11.7,0.0
11.8,0.0
11.9,0.0
12.0,0.0
12.1,0.0
12.2,0.0
12.3,0.0
12.4,0.0
12.5,0.0
12.6,0.0
12.7,0.0
12.8,0.0
12.9,0.0
13.0,0.0
13.1,0.0
13.2,0.0
13.3,0.0
13.4,0.0
13.5,0.0
13.6,0.0
13.7,0.0
13.8,0.0
13.9,0.0
14.0,0.0
14.1,0.0
14.2,0.0
14.3,0.0
14.4,0.0
14.5,0.0
14.6,0.0
14.7,0.0
14.8,0.0
14.9,0.0
15.0,0.0
15.1,0.0
15.2,0.0
15.3,0.0
15.4,0.0
15.5,0.0
15.6,0.0
15.7,0.0
15.8,0.0
15.9,0.0
16.0,0.0
16.1,0.0
16.2,0.0
16.3,0.0
16.4,0.0
16.5,0.0
16.6,0.0
16.7,0.0
16.8,0.0
16.9,0.0
17.0,0.0
17.1,0.0
17.2,0.0
17.3,0.0
17.4,0.0
17.5,0.0
17.6,10.0
17.7,167.0
17.8,1135.0
17.9,3150.0
18.0,3563.0
18.1,1643.0
18.2,309.0
18.3,24.0
18.4,0.0
18.5,0.0
18.6,0.0
18.7,0.0
18.8,0.0
18.9,0.0
19.0,1.0
19.1,19.0
19.2,94.0
19.3,224.0
19.4,414.0
19.5,897.0
19.6,1137.0
19.7,611.0
19.8,133.0
19.9,13.0
20.0,14.0
20.1,101.0
20.2,290.0
20.3,335.0
20.4,155.0
20.5,29.0
20.6,2.0
20.7,0.0
20.8,0.0
20.9,0.0
21.0,5.0
21.1,71.0
21.2,402.0
21.3,906.0
21.4,816.0
21.5,294.0
21.6,42.0
21.7,2.0
21.8,0.0
21.9,0.0
22.0,0.0
22.1,0.0
22.2,0.0
22.3,0.0
22.4,0.0
22.5,4.0
22.6,41.0
22.7,165.0
22.8,266.0
22.9,170.0
23.0,43.0
23.1,4.0
23.2,0.0
23.3,0.0
23.4,0.0
23.5,0.0
23.6,0.0
23.7,0.0
23.8,0.0
23.9,0.0
24.0,0.0
24.1,0.0
24.2,3.0
24.3,42.0
24.4,255.0
24.5,601.0
24.6,557.0
24.7,202.0
24.8,29.0
24.9,2.0
25.0,0.0
25.1,0.0
25.2,0.0
25.3,0.0
25.4,0.0
25.5,0.0
25.6,0.0
25.7,0.0
25.8,0.0
25.9,0.0
26.0,0.0
26.1,0.0
26.2,2.0
26.3,24.0
26.4,105.0
26.5,179.0
26.6,119.0
26.7,31.0
26.8,3.0
26.9,0.0
27.0,0.0
27.1,0.0
27.2,0.0
27.3,0.0
27.4,0.0
27.5,0.0
27.6,0.0
27.7,0.0
27.8,0.0
27.9,0.0
28.0,0.0
28.1,0.0
28.2,0.0
28.3,0.0
28.4,6.0
28.5,66.0
28.6,269.0
28.7,423.0
28.8,255.0
28.9,59.0
29.0,5.0
29.1,0.0
29.2,0.0
29.3,0.0
29.4,0.0
29.5,0.0
29.6,0.0
29.7,0.0
29.8,0.0
29.9,0.0
30.0,0.0
30.1,0.0
30.2,0.0
30.3,0.0
30.4,0.0
30.5,0.0
30.6,0.0
30.7,0.0
30.8,8.0
30.9,46.0
31.0,107.0
31.1,93.0
31.2,31.0
31.3,4.0
31.4,0.0
31.5,0.0
31.6,0.0
31.7,0.0
31.8,0.0
31.9,0.0
32.0,0.0
32.1,0.0
32.2,0.0
32.3,0.0
32.4,0.0
32.5,0.0
32.6,0.0
32.7,0.0
32.8,0.0
32.9,0.0
33.0,0.0
33.1,0.0
33.2,4.0
33.3,43.0
33.4,178.0
33.5,272.0
33.6,156.0
33.7,33.0
33.8,3.0
33.9,0.0
34.0,0.0
34.1,39.0
34.2,382.0
34.3,1419.0
34.4,2013.0
34.5,1095.0
34.6,229.0
34.7,18.0
34.8,0.0
34.9,0.0
35.0,0.0
35.1,0.0
35.2,0.0
35.3,0.0
35.4,0.0
35.5,0.0
35.6,0.0
35.7,11.0
35.8,129.0
35.9,571.0
36.0,970.0
36.1,654.0
36.2,229.0
36.3,227.0
36.4,306.0
36.5,166.0
36.6,33.0
36.7,2.0
36.8,0.0
36.9,0.0
37.0,0.0
37.1,0.0
37.2,0.0
37.3,0.0
37.4,0.0
37.5,0.0
37.6,0.0
37.7,0.0
37.8,0.0
37.9,0.0
38.0,0.0
38.1,0.0
38.2,0.0
38.3,0.0
38.4,0.0
38.5,4.0
38.6,40.0
38.7,134.0
38.8,166.0
38.9,75.0
39.0,14.0
39.1,12.0
39.2,44.0
39.3,113.0
39.4,163.0
39.5,99.0
39.6,35.0
39.7,44.0
39.8,50.0
39.9,22.0
40.0,4.0
40.1,10.0
40.2,60.0
40.3,134.0
40.4,108.0
40.5,31.0
40.6,3.0
40.7,0.0
40.8,0.0
40.9,0.0
41.0,6.0
41.1,28.0
41.2,48.0
41.3,33.0
41.4,28.0
41.5,47.0
41.6,50.0
41.7,227.0
41.8,1274.0
41.9,2743.0
42.0,2176.0
42.1,677.0
42.2,195.0
42.3,128.0
42.4,46.0
42.5,6.0
42.6,0.0
42.7,0.0
42.8,0.0
42.9,0.0
43.0,0.0
43.1,0.0
43.2,1.0
43.3,11.0
43.4,35.0
43.5,41.0
43.6,17.0
43.7,3.0
43.8,0.0
43.9,0.0
44.0,0.0
44.1,2.0
44.2,21.0
44.3,84.0
44.4,118.0
44.5,59.0
44.6,11.0
44.7,6.0
44.8,40.0
44.9,115.0
45.0,117.0
45.1,43.0
45.2,6.0
45.3,0.0
45.4,0.0
45.5,0.0
45.6,1.0
45.7,32.0
45.8,250.0
45.9,708.0
46.0,725.0
46.1,270.0
46.2,36.0
46.3,2.0
46.4,9.0
46.5,31.0
46.6,40.0
46.7,18.0
46.8,3.0
46.9,0.0
47.0,0.0
47.1,4.0
47.2,19.0
47.3,34.0
47.4,21.0
47.5,5.0
47.6,0.0
47.7,0.0
47.8,0.0
47.9,0.0
48.0,0.0
48.1,7.0
48.2,46.0
48.3,104.0
48.4,84.0
48.5,24.0
48.6,2.0
48.7,0.0
48.8,0.0
48.9,0.0
49.0,0.0
49.1,0.0
49.2,0.0
49.3,0.0
49.4,0.0
49.5,0.0
49.6,0.0
49.7,0.0
49.8,0.0
49.9,0.0
50.0,1.0
50.1,18.0
50.2,79.0
50.3,123.0
50.4,68.0
50.5,13.0
50.6,1.0
50.7,0.0
50.8,0.0
50.9,0.0
51.0,0.0
51.1,0.0
51.2,0.0
51.3,0.0
51.4,0.0
51.5,0.0
51.6,0.0
51.7,0.0
51.8,0.0
51.9,0.0
52.0,0.0
52.1,1.0
52.2,14.0
52.3,63.0
52.4,100.0
52.5,55.0
52.6,18.0
52.7,55.0
52.8,155.0
52.9,161.0
53.0,76.0
53.1,54.0
53.2,52.0
53.3,37.0
53.4,26.0
53.5,31.0
53.6,100.0
53.7,147.0
53.8,76.0
53.9,14.0
54.0,1.0
54.1,5.0
54.2,26.0
54.3,49.0
54.4,36.0
54.5,28.0
54.6,29.0
54.7,14.0
54.8,2.0
54.9,5.0
55.0,39.0
55.1,120.0
55.2,128.0
55.3,59.0
55.4,121.0
55.5,448.0
55.6,615.0
55.7,330.0
55.8,166.0
55.9,128.0
56.0,48.0
56.1,20.0
56.2,40.0
56.3,48.0
56.4,54.0
56.5,61.0
56.6,30.0
56.7,7.0
56.8,20.0
56.9,64.0
57.0,73.0
57.1,30.0
57.2,19.0
57.3,72.0
57.4,123.0
57.5,73.0
57.6,15.0
57.7,1.0
57.8,0.0
57.9,0.0
58.0,0.0
58.1,0.0
58.2,0.0
58.3,0.0
58.4,0.0
58.5,1.0
58.6,9.0
58.7,30.0
58.8,37.0
58.9,15.0
59.0,2.0
59.1,0.0
59.2,2.0
59.3,10.0
59.4,22.0
59.5,20.0
59.6,18.0
59.7,18.0
59.8,8.0
59.9,1.0
60.0,0.0
