2theta,Intensity
10,7.5
10.02,5.83333
10.04,5.83333
10.06,9.16667
10.08,10
10.1,8.33333
10.12,7.5
10.14,9.16667
10.16,10
10.18,6.66667
10.2,6.66667
10.22,8.33333
10.24,7.5
10.26,5.83333
10.28,6.66667
10.3,7.5
10.32,8.33333
10.34,8.33333
10.36,10
10.38,8.33333
10.4,7.5
10.42,7.5
10.44,4.16667
10.46,5
10.48,5.83333
10.5,5
10.52,4.16667
10.54,4.16667
10.56,5
10.58,8.33333
10.6,8.33333
10.62,6.66667
10.64,7.5
10.66,7.5
10.68,5.83333
10.7,5.83333
10.72,6.66667
10.74,7.5
10.76,9.16667
10.78,8.33333
10.8,10
10.82,9.16667
10.84,6.66667
10.86,5.83333
10.88,5.83333
10.9,7.5
10.92,8.33333
10.94,5
10.96,5.83333
10.98,7.5
11,8.33333
11.02,9.16667
11.04,6.66667
11.06,10
11.08,10.8333
11.1,5
11.12,4.16667
11.14,5
11.16,5
11.18,3.33333
11.2,4.16667
11.22,5.83333
11.24,8.33333
11.26,8.33333
11.28,5
11.3,5
11.32,7.5
11.34,10.8333
11.36,7.5
11.38,6.66667
11.4,6.66667
11.42,6.66667
11.44,6.66667
11.46,5
11.48,4.16667
11.5,5
11.52,5.83333
11.54,7.5
11.56,8.33333
11.58,6.66667
11.6,8.33333
11.62,5.83333
11.64,5.83333
11.66,5
11.68,5
11.7,6.66667
11.72,9.16667
11.74,10
11.76,7.5
11.78,8.33333
11.8,4.16667
11.82,5.83333
11.84,5.83333
11.86,8.33333
11.88,8.33333
11.9,5.83333
11.92,7.5
11.94,5.83333
11.96,7.5
11.98,10
12,10
12.02,8.33333
12.04,6.66667
12.06,7.5
12.08,11.6667
12.1,11.6667
12.12,5.83333
12.14,5.83333
12.16,7.5
12.18,10
12.2,10
12.22,9.16667
12.24,10.8333
12.26,10.8333
12.28,8.33333
12.3,8.33333
12.32,9.16667
12.34,10.8333
12.36,11.6667
12.38,10
12.4,8.33333
12.42,11.6667
12.44,5.83333
12.46,5.83333
12.48,13.3333
12.5,8.33333
12.52,8.33333
12.54,9.16667
12.56,9.16667
12.58,11.6667
12.6,11.6667
12.62,10
12.64,11.6667
12.66,11.6667
12.68,7.5
12.7,13.3333
12.72,11.6667
12.74,13.3333
12.76,11.6667
12.78,10.8333
12.8,10
