2theta,Intensity
10,5
10.02,4.16667
10.04,5.83333
10.06,8.33333
10.08,6.66667
10.1,4.16667
10.12,5.83333
10.14,5
10.16,5
10.18,5
10.2,5
10.22,5.83333
10.24,7.5
10.26,8.33333
10.28,5.83333
10.3,5.83333
10.32,6.66667
10.34,6.66667
10.36,5.83333
10.38,4.16667
10.4,5
10.42,6.66667
10.44,5.83333
10.46,5.83333
10.48,5.83333
10.5,5.83333
10.52,4.16667
10.54,1.66667
10.56,1.66667
10.58,6.66667
10.6,9.16667
10.62,6.66667
10.64,5.83333
10.66,4.16667
10.68,4.16667
10.7,6.66667
10.72,8.33333
10.74,7.5
10.76,7.5
10.78,5
10.8,3.33333
10.82,3.33333
10.84,5
10.86,6.66667
10.88,5.83333
10.9,5
10.92,5.83333
10.94,8.33333
10.96,6.66667
10.98,4.16667
11,7.5
11.02,10.8333
11.04,10
11.06,8.33333
11.08,5
11.1,4.16667
11.12,6.66667
11.14,5
11.16,5
11.18,3.33333
11.2,4.16667
11.22,5.83333
11.24,5.83333
11.26,4.16667
11.28,4.16667
11.3,5.83333
11.32,5.83333
11.34,3.33333
11.36,3.33333
11.38,6.66667
11.4,5
11.42,1.66667
11.44,3.33333
11.46,5
11.48,5.83333
11.5,8.33333
11.52,9.16667
11.54,7.5
11.56,5.83333
11.58,3.33333
11.6,2.5
11.62,3.33333
11.64,5
11.66,5
11.68,4.16667
11.7,4.16667
11.72,4.16667
11.74,5
11.76,4.16667
11.78,5
11.8,5.83333
11.82,4.16667
11.84,5
11.86,5
11.88,5
11.9,6.66667
11.92,3.33333
11.94,3.33333
11.96,5
11.98,5
12,3.33333
12.02,6.66667
12.04,5
12.06,4.16667
12.08,4.16667
12.1,6.66667
12.12,6.66667
12.14,8.33333
12.16,5.83333
12.18,4.16667
12.2,5.83333
12.22,5
12.24,5.83333
12.26,5
12.28,5
12.3,6.66667
12.32,5
12.34,5.83333
12.36,6.66667
12.38,4.16667
12.4,5
12.42,5
12.44,2.5
12.46,2.5
12.48,5.83333
12.5,5
12.52,5
12.54,5
12.56,6.66667
12.58,5.83333
12.6,5.83333
12.62,6.66667
12.64,3.33333
12.66,3.33333
12.68,5.83333
12.7,6.66667
12.72,10.8333
12.74,9.16667
12.76,5
12.78,5.83333
12.8,3.33333
12.82,6.66667
12.84,5.83333
12.86,8.33333
12.88,5
12.9,8.33333
12.92,10
12.94,5
12.96,10.8333
12.98,4.16667
13,7.5
13.02,5
13.04,7.5
13.06,9.16667
13.08,9.16667
13.1,10
13.12,8.33333
13.14,6.66667
13.16,5
13.18,7.5
13.2,8.33333
13.22,10
13.24,4.16667
13.26,5
13.28,9.16667
13.3,5.83333
13.32,4.16667
13.34,5.83333
13.36,9.16667
13.38,8.33333
13.4,10
13.42,3.33333
13.44,7.5
13.46,5.83333
13.48,4.16667
13.5,4.16667
13.52,5.83333
13.54,7.5
13.56,3.33333
13.58,5.83333
13.6,6.66667
13.62,4.16667
13.64,5
13.66,5.83333
13.68,4.16667
