2theta,Intensity
10,3.33333
10.02,5
10.04,7.5
10.06,8.33333
10.08,6.66667
10.1,5.83333
10.12,5
10.14,5
10.16,5.83333
10.18,5.83333
10.2,4.16667
10.22,5.83333
10.24,8.33333
10.26,5.83333
10.28,4.16667
10.3,5.83333
10.32,7.5
10.34,5.83333
10.36,5.83333
10.38,6.66667
10.4,4.16667
10.42,1.66667
10.44,5
10.46,8.33333
10.48,5.83333
10.5,5
10.52,7.5
10.54,6.66667
10.56,3.33333
10.58,2.5
10.6,3.33333
10.62,2.5
10.64,3.33333
10.66,5.83333
10.68,7.5
10.7,5
10.72,2.5
10.74,5
10.76,6.66667
10.78,6.66667
10.8,7.5
10.82,6.66667
10.84,5.83333
10.86,4.16667
10.88,9.16667
10.9,10
10.92,5.83333
10.94,2.5
10.96,2.5
10.98,5
11,5.83333
11.02,7.5
11.04,10.8333
11.06,9.16667
11.08,5
11.1,5.83333
11.12,5
11.14,5
11.16,4.16667
11.18,2.5
11.2,4.16667
11.22,7.5
11.24,5.83333
11.26,5
11.28,4.16667
11.3,4.16667
11.32,3.33333
11.34,2.5
11.36,5
11.38,5.83333
11.4,4.16667
11.42,4.16667
11.44,2.5
11.46,2.5
11.48,5
11.5,8.33333
11.52,5.83333
11.54,3.33333
11.56,5
11.58,5
11.6,5
11.62,6.66667
11.64,5
11.66,5.83333
11.68,5.83333
11.7,4.16667
11.72,5
11.74,3.33333
11.76,4.16667
11.78,5.83333
11.8,3.33333
11.82,5.83333
11.84,4.16667
11.86,3.33333
11.88,6.66667
11.9,5
11.92,5
11.94,6.66667
11.96,6.66667
11.98,4.16667
12,4.16667
12.02,6.66667
12.04,5.83333
12.06,4.16667
12.08,5
12.1,5
12.12,10.8333
12.14,10
12.16,6.66667
12.18,5.83333
12.2,4.16667
12.22,5.83333
12.24,4.16667
12.26,5
12.28,5
12.3,5
12.32,5.83333
12.34,5.83333
12.36,8.33333
12.38,7.5
12.4,5.83333
12.42,7.5
12.44,5
12.46,6.66667
12.48,9.16667
12.5,13.3333
12.52,7.5
12.54,8.33333
12.56,9.16667
12.58,9.16667
12.6,10
12.62,4.16667
12.64,5
12.66,9.16667
12.68,10.8333
12.7,5.83333
12.72,8.33333
12.74,6.66667
12.76,7.5
12.78,8.33333
12.8,8.33333
12.82,8.33333
12.84,8.33333
