H	K	L	2THETA	D-VALUE	MULT	INTENSITY
2	0	0	9.72	9.1024	2	232.6
1	1	0	9.72	9.1019	2	63.4
1	-1	0	9.72	9.1019	2	63.4
1	1	-1	13.27	6.6741	2	106.1
1	1	1	13.27	6.6741	2	106.1
1	-1	1	13.27	6.6741	2	106.1
1	-1	-1	13.27	6.6741	2	106.1
3	1	0	16.87	5.2552	2	261.9
3	-1	0	16.87	5.2552	2	261.9
0	2	0	16.87	5.2549	2	270.9
0	0	2	18.07	4.9079	2	633.1
3	1	1	19.16	4.6330	2	288.9
3	-1	1	19.16	4.6330	2	288.9
3	1	-1	19.16	4.6330	2	288.9
3	-1	-1	19.16	4.6330	2	288.9
0	2	1	19.16	4.6328	2	263.9
0	2	-1	19.16	4.6328	2	263.9
4	0	0	19.50	4.5512	2	945.7
2	2	0	19.51	4.5510	2	259.2
2	-2	0	19.51	4.5510	2	259.2
2	0	-2	20.56	4.3200	2	68.3
2	0	2	20.56	4.3200	2	68.3
1	-1	2	20.56	4.3199	2	17.4
1	1	-2	20.56	4.3199	2	17.4
1	1	2	20.56	4.3199	2	17.4
1	-1	-2	20.56	4.3199	2	17.4
2	2	1	21.52	4.1288	2	584.1
2	-2	1	21.52	4.1288	2	584.1
2	-2	-1	21.52	4.1288	2	584.1
2	2	-1	21.52	4.1288	2	584.1
3	1	2	24.82	3.5869	2	606.3
3	-1	2	24.82	3.5869	2	606.3
3	1	-2	24.82	3.5869	2	606.3
3	-1	-2	24.82	3.5869	2	606.3
0	2	-2	24.82	3.5868	2	694.9
0	2	2	24.82	3.5868	2	694.9
5	-1	0	25.90	3.4404	2	37.1
5	1	0	25.90	3.4404	2	37.1
4	2	0	25.90	3.4403	2	35.8
4	-2	0	25.90	3.4403	2	35.8
1	3	0	25.90	3.4401	2	155.5
1	-3	0	25.90	3.4401	2	155.5
4	0	-2	26.71	3.3372	2	496.3
4	0	2	26.71	3.3372	2	496.3
2	-2	2	26.71	3.3371	2	106.3
2	2	-2	26.71	3.3371	2	106.3
2	2	2	26.71	3.3371	2	106.3
2	-2	-2	26.71	3.3371	2	106.3
5	1	1	27.47	3.2467	2	84.2
5	1	-1	27.47	3.2467	2	84.2
5	-1	1	27.47	3.2467	2	84.2
5	-1	-1	27.47	3.2467	2	84.2
4	-2	-1	27.47	3.2466	2	87.8
4	2	-1	27.47	3.2466	2	87.8
4	-2	1	27.47	3.2466	2	87.8
4	2	1	27.47	3.2466	2	87.8
1	-3	-1	27.47	3.2465	2	0.2
1	-3	1	27.47	3.2465	2	0.2
1	3	-1	27.47	3.2465	2	0.2
1	3	1	27.47	3.2465	2	0.2
1	1	-3	29.00	3.0790	2	14.8
1	1	3	29.00	3.0790	2	14.8
1	-1	3	29.00	3.0790	2	14.8
1	-1	-3	29.00	3.0790	2	14.8
6	0	0	29.44	3.0341	2	356.0
3	-3	0	29.44	3.0340	2	347.5
3	3	0	29.44	3.0340	2	347.5
3	-3	1	30.85	2.8987	2	0.5
3	-3	-1	30.85	2.8987	2	0.5
3	3	1	30.85	2.8987	2	0.5
3	3	-1	30.85	2.8987	2	0.5
5	1	2	31.76	2.8171	2	22.6
5	-1	-2	31.76	2.8171	2	22.6
5	-1	2	31.76	2.8171	2	22.6
5	1	-2	31.76	2.8171	2	22.6
4	2	2	31.76	2.8171	2	18.6
4	-2	2	31.76	2.8171	2	18.6
4	-2	-2	31.76	2.8171	2	18.6
4	2	-2	31.76	2.8171	2	18.6
1	-3	2	31.76	2.8170	2	82.8
1	3	2	31.76	2.8170	2	82.8
1	-3	-2	31.76	2.8170	2	82.8
1	3	-2	31.76	2.8170	2	82.8
3	-1	3	32.23	2.7776	2	727.7
3	1	-3	32.23	2.7776	2	727.7
3	1	3	32.23	2.7776	2	727.7
3	-1	-3	32.23	2.7776	2	727.7
0	2	-3	32.23	2.7775	2	747.8
0	2	3	32.23	2.7775	2	747.8
2	2	3	33.74	2.6566	2	171.3
2	2	-3	33.74	2.6566	2	171.3
2	-2	3	33.74	2.6566	2	171.3
2	-2	-3	33.74	2.6566	2	171.3
6	2	0	34.12	2.6276	2	622.7
6	-2	0	34.12	2.6276	2	622.7
0	4	0	34.12	2.6274	2	492.7
6	0	-2	34.76	2.5808	2	964.1
6	0	2	34.76	2.5808	2	964.1
3	-3	-2	34.76	2.5807	2	1000.0
3	3	2	34.76	2.5807	2	1000.0
3	-3	2	34.76	2.5807	2	1000.0
3	3	-2	34.76	2.5807	2	1000.0
6	-2	1	35.36	2.5382	2	678.4
6	2	1	35.36	2.5382	2	678.4
6	2	-1	35.36	2.5382	2	678.4
6	-2	-1	35.36	2.5382	2	678.4
0	4	-1	35.36	2.5381	2	706.0
0	4	1	35.36	2.5381	2	706.0
7	-1	0	35.56	2.5245	2	1.3
7	1	0	35.56	2.5245	2	1.3
5	3	0	35.56	2.5245	2	4.4
5	-3	0	35.56	2.5245	2	4.4
2	4	0	35.56	2.5244	2	2.0
2	-4	0	35.56	2.5244	2	2.0
0	0	4	36.62	2.4540	2	694.5
7	-1	-1	36.76	2.4450	2	9.8
7	1	1	36.76	2.4450	2	9.8
7	1	-1	36.76	2.4450	2	9.8
7	-1	1	36.76	2.4450	2	9.8
5	3	1	36.76	2.4449	2	0.0
