2theta,Intensity
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,19.0
9.5,179.0
9.6,740.0
9.7,1306.0
9.8,985.0
9.9,318.0
10.0,44.0
10.1,1.0
10.2,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.6,0.0
10.7,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.1,0.0
11.2,0.0
11.3,0.0
11.4,0.0
11.5,0.0
11.6,0.0
11.7,0.0
11.8,0.0
11.9,0.0
12.0,0.0
12.1,0.0
12.2,0.0
12.3,0.0
12.4,0.0
12.5,0.0
12.6,0.0
12.7,0.0
12.8,0.0
12.9,5.0
13.0,73.0
13.1,479.0
13.2,1310.0
13.3,1500.0
13.4,719.0
13.5,144.0
13.6,12.0
13.7,0.0
13.8,0.0
13.9,0.0
14.0,0.0
14.1,0.0
14.2,0.0
14.3,0.0
14.4,0.0
14.5,0.0
14.6,0.0
14.7,0.0
14.8,0.0
14.9,0.0
15.0,0.0
15.1,0.0
15.2,0.0
15.3,0.0
15.4,0.0
15.5,0.0
15.6,0.0
15.7,0.0
15.8,0.0
15.9,0.0
16.0,0.0
16.1,0.0
16.2,0.0
16.3,0.0
16.4,0.0
16.5,6.0
16.6,113.0
16.7,813.0
16.8,2391.0
16.9,2884.0
17.0,1426.0
17.1,289.0
17.2,24.0
17.3,0.0
17.4,0.0
17.5,0.0
17.6,0.0
17.7,0.0
17.8,82.0
17.9,613.0
18.0,1870.0
18.1,2323.0
18.2,1175.0
18.3,242.0
18.4,20.0
18.5,0.0
18.6,0.0
18.7,0.0
18.8,20.0
18.9,324.0
19.0,2104.0
19.1,5523.0
19.2,5951.0
19.3,3360.0
19.4,3833.0
19.5,5587.0
19.6,3674.0
19.7,981.0
19.8,106.0
19.9,0.0
20.0,0.0
20.1,0.0
20.2,2.0
20.3,37.0
20.4,247.0
20.5,670.0
20.6,729.0
20.7,318.0
20.8,56.0
20.9,4.0
21.0,0.0
21.1,0.0
21.2,76.0
21.3,928.0
21.4,4504.0
21.5,8732.0
21.6,6760.0
21.7,2089.0
21.8,258.0
21.9,0.0
22.0,0.0
22.1,0.0
22.2,0.0
22.3,0.0
22.4,0.0
22.5,0.0
22.6,0.0
22.7,0.0
22.8,0.0
22.9,0.0
23.0,0.0
23.1,0.0
23.2,0.0
23.3,0.0
23.4,0.0
23.5,0.0
23.6,0.0
23.7,0.0
23.8,0.0
23.9,0.0
24.0,0.0
24.1,0.0
24.2,0.0
24.3,0.0
24.4,0.0
24.5,115.0
24.6,1466.0
24.7,7337.0
24.8,14398.0
24.9,11077.0
25.0,3341.0
25.1,395.0
25.2,0.0
25.3,0.0
25.4,0.0
25.5,0.0
25.6,27.0
25.7,278.0
25.8,1123.0
25.9,1769.0
26.0,1086.0
26.1,260.0
26.2,24.0
26.3,0.0
26.4,54.0
26.5,647.0
26.6,3018.0
26.7,5461.0
26.8,3834.0
26.9,1044.0
27.0,110.0
27.1,0.0
27.2,81.0
27.3,664.0
27.4,2104.0
27.5,2577.0
27.6,1220.0
27.7,223.0
27.8,16.0
27.9,0.0
28.0,0.0
28.1,0.0
28.2,0.0
28.3,0.0
28.4,0.0
28.5,0.0
28.6,0.0
28.7,3.0
28.8,35.0
28.9,145.0
29.0,231.0
29.1,158.0
29.2,299.0
29.3,1633.0
29.4,3825.0
29.5,3432.0
29.6,1178.0
29.7,155.0
29.8,0.0
29.9,0.0
30.0,0.0
30.1,0.0
30.2,0.0
30.3,0.0
30.4,0.0
30.5,0.0
30.6,0.0
30.7,3.0
30.8,7.0
30.9,7.0
31.0,2.0
31.1,0.0
31.2,0.0
31.3,0.0
31.4,0.0
31.5,66.0
31.6,531.0
31.7,1603.0
31.8,1830.0
31.9,882.0
32.0,1516.0
32.1,7856.0
32.2,16730.0
32.3,13446.0
32.4,4074.0
32.5,465.0
32.6,0.0
32.7,0.0
32.8,0.0
32.9,0.0
33.0,0.0
33.1,0.0
33.2,0.0
33.3,0.0
33.4,10.0
33.5,168.0
33.6,1066.0
33.7,2527.0
33.8,2283.0
33.9,1349.0
34.0,3391.0
34.1,6717.0
34.2,5107.0
34.3,1450.0
34.4,154.0
34.5,812.0
34.6,6533.0
34.7,19562.0
34.8,21806.0
34.9,9050.0
35.0,1398.0
35.1,619.0
35.2,4424.0
35.3,13498.0
35.4,15303.0
35.5,6478.0
35.6,1060.0
35.7,82.0
35.8,4.0
35.9,0.0
36.0,0.0
36.1,0.0
36.2,0.0
36.3,18.0
36.4,255.0
36.5,1382.0
36.6,2796.0
36.7,2216.0
36.8,785.0
36.9,154.0
37.0,15.0
37.1,1.0
37.2,0.0
37.3,0.0
37.4,0.0
37.5,0.0
37.6,2.0
37.7,43.0
37.8,324.0
37.9,892.0
38.0,905.0
38.1,339.0
38.2,47.0
38.3,2.0
38.4,0.0
38.5,0.0
38.6,64.0
38.7,631.0
38.8,2262.0
38.9,2961.0
39.0,1415.0
39.1,247.0
39.2,16.0
39.3,8.0
39.4,102.0
39.5,483.0
39.6,835.0
39.7,526.0
39.8,121.0
39.9,14.0
40.0,40.0
40.1,134.0
40.2,161.0
40.3,72.0
40.4,37.0
40.5,228.0
40.6,923.0
40.7,1500.0
40.8,911.0
40.9,202.0
41.0,16.0
41.1,0.0
41.2,0.0
41.3,0.0
41.4,0.0
41.5,8.0
41.6,132.0
41.7,752.0
41.8,1539.0
41.9,1137.0
42.0,303.0
42.1,29.0
42.2,0.0
42.3,0.0
42.4,0.0
42.5,0.0
42.6,0.0
42.7,0.0
42.8,0.0
42.9,0.0
43.0,0.0
43.1,0.0
43.2,1.0
43.3,2.0
43.4,2.0
43.5,0.0
43.6,42.0
43.7,336.0
43.8,968.0
43.9,1040.0
44.0,965.0
44.1,3074.0
44.2,5478.0
44.3,3549.0
44.4,829.0
44.5,72.0
44.6,1.0
44.7,0.0
44.8,0.0
44.9,0.0
45.0,0.0
45.1,10.0
45.2,122.0
45.3,528.0
45.4,830.0
45.5,559.0
45.6,471.0
45.7,502.0
45.8,230.0
45.9,38.0
46.0,2.0
46.1,0.0
46.2,0.0
46.3,0.0
46.4,19.0
46.5,161.0
46.6,479.0
46.7,506.0
46.8,189.0
46.9,25.0
47.0,1.0
47.1,4.0
47.2,23.0
47.3,58.0
47.4,60.0
47.5,51.0
47.6,97.0
47.7,106.0
47.8,42.0
47.9,6.0
48.0,0.0
48.1,0.0
48.2,0.0
48.3,0.0
48.4,2.0
48.5,50.0
48.6,378.0
48.7,1010.0
48.8,949.0
48.9,314.0
49.0,36.0
49.1,0.0
49.2,35.0
49.3,538.0
49.4,2908.0
49.5,5783.0
49.6,4337.0
49.7,1254.0
49.8,143.0
49.9,42.0
50.0,194.0
50.1,353.0
50.2,226.0
50.3,53.0
50.4,46.0
50.5,307.0
50.6,801.0
50.7,1100.0
50.8,2593.0
50.9,4956.0
51.0,3865.0
51.1,1272.0
51.2,197.0
51.3,12.0
51.4,0.0
51.5,0.0
51.6,0.0
51.7,1.0
51.8,13.0
51.9,47.0
52.0,122.0
52.1,459.0
52.2,912.0
52.3,656.0
52.4,165.0
52.5,14.0
52.6,0.0
52.7,0.0
52.8,0.0
52.9,3.0
53.0,41.0
53.1,238.0
53.2,635.0
53.3,638.0
53.4,231.0
53.5,96.0
53.6,387.0
53.7,890.0
53.8,1632.0
53.9,5262.0
54.0,9560.0
54.1,6888.0
54.2,2213.0
54.3,363.0
54.4,26.0
54.5,0.0
54.6,0.0
54.7,2.0
54.8,42.0
54.9,295.0
55.0,719.0
55.1,608.0
55.2,178.0
55.3,18.0
55.4,27.0
55.5,448.0
55.6,2599.0
55.7,5213.0
55.8,3621.0
55.9,874.0
56.0,130.0
56.1,386.0
56.2,918.0
56.3,774.0
56.4,242.0
56.5,146.0
56.6,627.0
56.7,1130.0
56.8,706.0
56.9,177.0
57.0,163.0
57.1,322.0
57.2,252.0
57.3,78.0
57.4,10.0
57.5,0.0
57.6,0.0
57.7,8.0
57.8,92.0
57.9,345.0
58.0,448.0
58.1,201.0
58.2,31.0
58.3,2.0
58.4,98.0
58.5,1482.0
58.6,7736.0
58.7,13922.0
58.8,8638.0
58.9,1853.0
59.0,179.0
59.1,117.0
59.2,112.0
59.3,38.0
59.4,32.0
59.5,161.0
59.6,331.0
59.7,256.0
59.8,108.0
59.9,73.0
60.0,38.0
