formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
B11H10SI,mp-1203795,3.4062,1.89430563,0.0,"{5: 11, 1: 10, 16: 1, 53: 1}","[1, 5, 16, 53]",110511161531,B11H10S1I1
B10H11C2,mp-1229024,5.749499999999999,2.5825762,0.0,"{5: 10, 1: 11, 6: 2}","[1, 5, 6]",11151062,B10H11C2
B9H11,mp-29654,2.9118,-1.99625916,0.0,"{5: 9, 1: 11}","[1, 5]",11159,B9H11
Ca(BH)12,mp-1196257,4.8911,2.84280377,0.0,"{20: 1, 5: 12, 1: 12}","[1, 5, 20]",112512201,Ca1B12H12
Sr(BH)12,mp-1200414,5.893599999999999,3.75991497,0.0,"{38: 1, 5: 12, 1: 12}","[1, 5, 38]",112512381,Sr1B12H12
Al(BH4)3,mp-569787,6.2431,-4.70100868,0.0,"{13: 1, 5: 3, 1: 12}","[1, 5, 13]",11253131,Al1B3H12
KSr(BH4)3,mp-1195216,5.7155000000000005,2.4802438,0.0,"{19: 1, 38: 1, 5: 3, 1: 12}","[1, 5, 19, 38]",11253191381,K1Sr1B3H12
RbSr(BH4)3,mp-1194771,5.242800000000001,2.08511861,0.0,"{37: 1, 38: 1, 5: 3, 1: 12}","[1, 5, 37, 38]",11253371381,Rb1Sr1B3H12
CsSr(BH4)3,mp-1195599,5.3107,2.60162449,0.0,"{55: 1, 38: 1, 5: 3, 1: 12}","[1, 5, 38, 55]",11253381551,Cs1Sr1B3H12
La(BH4)3,mp-2646967,4.5244,-3.18740343,0.0,"{57: 1, 5: 3, 1: 12}","[1, 5, 57]",11253571,La1B3H12
Ce(BH4)3,mp-2646929,0.3439,-0.05555809,0.0,"{58: 1, 5: 3, 1: 12}","[1, 5, 58]",11253581,Ce1B3H12
Lu(BH4)3,mp-2646923,4.7143,-3.49024984,0.0,"{71: 1, 5: 3, 1: 12}","[1, 5, 71]",11253711,Lu1B3H12
Ca3B4(H4O)3,mp-1182037,4.7904,-0.6903716,0.0,"{20: 3, 5: 4, 1: 12, 8: 3}","[1, 5, 8, 20]",1125483203,Ca3B4H12O3
Cs3B6H12S4Br,mp-695929,4.9166,-0.2159295,0.0,"{55: 3, 5: 6, 1: 12, 16: 4, 35: 1}","[1, 5, 16, 35, 55]",11256164351553,Cs3B6H12S4Br1
Cs3B6H12Se4Br,mp-740711,4.4933000000000005,-0.47105265,0.0,"{55: 3, 5: 6, 1: 12, 34: 4, 35: 1}","[1, 5, 34, 35, 55]",11256344351553,Cs3B6H12Se4Br1
NaLiSiB3HO8,mp-558267,5.0818,0.62636467,0.0,"{11: 1, 3: 1, 14: 1, 5: 3, 1: 1, 8: 8}","[1, 3, 5, 8, 11, 14]",11315388111141,Na1Li1Si1B3H1O8
B10H13I,mp-1199051,2.5463,-1.80337041,0.0,"{5: 10, 1: 13, 53: 1}","[1, 5, 53]",113510531,B10H13I1
Be2BHO4,mp-23883,6.1491,0.38189803,0.0,"{4: 2, 5: 1, 1: 1, 8: 4}","[1, 4, 5, 8]",11425184,Be2B1H1O4
B10H14S,mp-1199941,2.5518,0.37997286,0.0,"{5: 10, 1: 14, 16: 1}","[1, 5, 16]",114510161,B10H14S1
BHS3O11,mp-1200187,5.696299999999999,-1.00909997,0.0,"{5: 1, 1: 1, 16: 3, 8: 11}","[1, 5, 8, 16]",1151811163,B1H1S3O11
BHO2,mp-1198592,6.2786,-1.41496723,0.0,"{5: 1, 1: 1, 8: 2}","[1, 5, 8]",115182,B1H1O2
Na2BHO3,mp-556125,3.8105999999999995,0.40732859,0.0,"{11: 2, 5: 1, 1: 1, 8: 3}","[1, 5, 8, 11]",115183112,Na2B1H1O3
MgBHO3,mp-23748,5.4376999999999995,1.43306323,0.0,"{12: 1, 5: 1, 1: 1, 8: 3}","[1, 5, 8, 12]",115183121,Mg1B1H1O3
CaBHO3,mp-1192226,4.963699999999999,0.66704906,0.0,"{20: 1, 5: 1, 1: 1, 8: 3}","[1, 5, 8, 20]",115183201,Ca1B1H1O3
BH(PbO2)2,mp-1105235,3.0854,1.93197363,0.0,"{5: 1, 1: 1, 82: 2, 8: 4}","[1, 5, 8, 82]",115184822,B1H1Pb2O4
K2BAs2HO8,mp-1224203,3.7036999999999995,3.0402329,0.0,"{19: 2, 5: 1, 33: 2, 1: 1, 8: 8}","[1, 5, 8, 19, 33]",115188192332,K2B1As2H1O8
NaInBP2HO9,mp-1198616,4.1928,1.36601454,0.0,"{11: 1, 49: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 11, 15, 49]",115189111152491,Na1In1B1P2H1O9
RbAlBP2HO9,mp-542130,5.2635,1.13374221,0.0,"{37: 1, 13: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 13, 15, 37]",115189131152371,Rb1Al1B1P2H1O9
CsAlBP2HO9,mp-542129,5.2653,1.25920677,0.0,"{55: 1, 13: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 13, 15, 55]",115189131152551,Cs1Al1B1P2H1O9
KScBP2HO9,mp-23808,4.6379,0.63339015,0.0,"{19: 1, 21: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 19, 21]",115189152191211,K1Sc1B1P2H1O9
KVBP2HO9,mp-24827,1.7431,3.79036325,0.0,"{19: 1, 23: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 19, 23]",115189152191231,K1V1B1P2H1O9
KInBP2HO9,mp-1193408,4.1152,1.13343572,0.0,"{19: 1, 49: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 19, 49]",115189152191491,K1In1B1P2H1O9
RbScBP2HO9,mp-23809,4.806,0.67910777,0.0,"{37: 1, 21: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 21, 37]",115189152211371,Rb1Sc1B1P2H1O9
RbVBP2HO9,mp-767613,1.7429000000000001,1.59214161,0.0,"{37: 1, 23: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 23, 37]",115189152231371,Rb1V1B1P2H1O9
CsGaBP2HO9,mp-1201408,4.6544,0.63534832,0.0,"{55: 1, 31: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 31, 55]",115189152311551,Cs1Ga1B1P2H1O9
RbInBP2HO9,mp-766175,3.8236000000000003,1.08413335,0.0,"{37: 1, 49: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 37, 49]",115189152371491,Rb1In1B1P2H1O9
RbB2P2HO9,mp-758281,5.7824,0.36560564,0.0,"{37: 1, 5: 2, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 37]",115289152371,Rb1B2P2H1O9
CsB2P2HO9,mp-1198124,5.827,0.30468976,0.0,"{55: 1, 5: 2, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 15, 55]",115289152551,Cs1B2P2H1O9
PrB2HF10,mp-861500,7.7517,-2.71478032,0.0,"{59: 1, 5: 2, 1: 1, 9: 10}","[1, 5, 9, 59]",1152910591,Pr1B2H1F10
NdB2HF10,mp-977417,7.554399999999999,-2.82482352,0.0,"{60: 1, 5: 2, 1: 1, 9: 10}","[1, 5, 9, 60]",1152910601,Nd1B2H1F10
Zn6B3HO11,mp-1216191,2.8322000000000003,-0.37912679,0.0,"{30: 6, 5: 3, 1: 1, 8: 11}","[1, 5, 8, 30]",1153811306,Zn6B3H1O11
Na2B3HO6,mp-706631,4.6148,0.71616466,0.0,"{11: 2, 5: 3, 1: 1, 8: 6}","[1, 5, 8, 11]",115386112,Na2B3H1O6
CaB3HO6,mp-1194867,5.8113,1.16723702,0.0,"{20: 1, 5: 3, 1: 1, 8: 6}","[1, 5, 8, 20]",115386201,Ca1B3H1O6
Al2B3HO8,mp-1199198,5.5664,4.48957611,0.0,"{13: 2, 5: 3, 1: 1, 8: 8}","[1, 5, 8, 13]",115388132,Al2B3H1O8
Sr2B5HO10,mp-1202819,4.7715,0.90534883,0.0,"{38: 2, 5: 5, 1: 1, 8: 10}","[1, 5, 8, 38]",1155810382,Sr2B5H1O10
LiSc(BH4)4,mp-1222578,4.6661,-3.82734614,0.0,"{3: 1, 21: 1, 5: 4, 1: 16}","[1, 3, 5, 21]",1163154211,Li1Sc1B4H16
RbLiMn(BH4)4,mp-1219628,2.1089,-1.67234939,0.0,"{37: 1, 3: 1, 25: 1, 5: 4, 1: 16}","[1, 3, 5, 25, 37]",1163154251371,Rb1Li1Mn1B4H16
NaSc(BH4)4,mp-866649,4.5382,-3.26937812,0.0,"{11: 1, 21: 1, 5: 4, 1: 16}","[1, 5, 11, 21]",11654111211,Na1Sc1B4H16
