formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
B10H11C2,mp-1229024,5.749499999999999,2.5825762,0.0,"{5: 10, 1: 11, 6: 2}","[1, 5, 6]",11151062,B10H11C2
LiCa2HC3,mp-1104693,1.2992,3.79123141,0.0,"{3: 1, 20: 2, 1: 1, 6: 3}","[1, 3, 6, 20]",113163202,Li1Ca2H1C3
Ti2HC,mp-1217074,0.0,6.91225811,0.0,"{22: 2, 1: 1, 6: 1}","[1, 6, 22]",1161222,Ti2H1C1
Zr2HC,mp-1215471,0.0,4.73013357,0.0,"{40: 2, 1: 1, 6: 1}","[1, 6, 40]",1161402,Zr2H1C1
Hf2HC,mp-1224333,0.0,6.01414807,0.0,"{72: 2, 1: 1, 6: 1}","[1, 6, 72]",1161722,Hf2H1C1
NaHCO3,mp-696396,5.282900000000001,-0.34891957,0.0,"{11: 1, 1: 1, 6: 1, 8: 3}","[1, 6, 8, 11]",116183111,Na1H1C1O3
KHCO3,mp-634431,4.9811,-0.73550765,0.0,"{19: 1, 1: 1, 6: 1, 8: 3}","[1, 6, 8, 19]",116183191,K1H1C1O3
CsHCO3,mp-1238754,4.9478,4.66457798,0.0,"{55: 1, 1: 1, 6: 1, 8: 3}","[1, 6, 8, 55]",116183551,Cs1H1C1O3
NdHCO4,mp-1220134,5.2688999999999995,1.00616747,0.0,"{60: 1, 1: 1, 6: 1, 8: 4}","[1, 6, 8, 60]",116184601,Nd1H1C1O4
SmHCO4,mp-1219040,5.2934,1.03080156,0.0,"{62: 1, 1: 1, 6: 1, 8: 4}","[1, 6, 8, 62]",116184621,Sm1H1C1O4
GdHCO4,mp-1224646,2.8483,1.06202351,0.0,"{64: 1, 1: 1, 6: 1, 8: 4}","[1, 6, 8, 64]",116184641,Gd1H1C1O4
TbH(CO2)3,mp-1194953,3.3288,3.69578108,0.0,"{65: 1, 1: 1, 6: 3, 8: 6}","[1, 6, 8, 65]",116386651,Tb1H1C3O6
PH18PtC6S3BrF6,mp-1204443,3.0185,-1.30814338,0.0,"{15: 1, 1: 18, 78: 1, 6: 6, 16: 3, 35: 1, 9: 6}","[1, 6, 9, 15, 16, 35, 78]",1186696151163351781,P1H18Pt1C6S3Br1F6
NaAlH2CO5,mp-644506,4.943,0.82828263,0.0,"{11: 1, 13: 1, 1: 2, 6: 1, 8: 5}","[1, 6, 8, 11, 13]",126185111131,Na1Al1H2C1O5
