formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
NaLiB2(H5N)2,mp-1203079,4.0857,2.6281151,0.09907675114583103,"{11: 1, 3: 1, 5: 2, 1: 10, 7: 2}","[1, 3, 5, 7, 11]",110315272111,Na1Li1B2H10N2
LiB6(H5O)2,mp-1198595,5.3429,3.30550538,0.12105385748144037,"{3: 1, 5: 6, 1: 10, 8: 2}","[1, 3, 5, 8]",110315682,Li1B6H10O2
LiMnP3(H5O7)2,mp-1204876,4.0589,0.06116208,0.033185965344825874,"{3: 1, 25: 1, 15: 3, 1: 10, 8: 14}","[1, 3, 8, 15, 25]",11031814153251,Li1Mn1P3H10O14
K2LiV5H10O19,mp-1203349,2.5943,-0.79922151,0.024092448175695225,"{19: 2, 3: 1, 23: 5, 1: 10, 8: 19}","[1, 3, 8, 19, 23]",11031819192235,K2Li1V5H10O19
Li2H10C8O7F18,mp-1199620,5.4884,-1.875084,0.19412254416666475,"{3: 2, 1: 10, 6: 8, 8: 7, 9: 18}","[1, 3, 6, 8, 9]",110326887918,Li2H10C8O7F18
Li2Sn(H5O4)2,mp-1195757,4.465,3.89273369,0.0,"{3: 2, 50: 1, 1: 10, 8: 8}","[1, 3, 8, 50]",1103288501,Li2Sn1H10O8
Li4BH10N3,mp-1201205,3.588,-1.42426133,0.05916480569444538,"{3: 4, 5: 1, 1: 10, 7: 3}","[1, 3, 5, 7]",110345173,Li4B1H10N3
NaLi4(H2N)5,mp-1221130,2.6774,-0.83200984,0.0017297200000001567,"{11: 1, 3: 4, 1: 10, 7: 5}","[1, 3, 7, 11]",1103475111,Na1Li4H10N5
LiB2H11N2,mp-1196441,4.508900000000001,-1.6068041,0.07247056046874878,"{3: 1, 5: 2, 1: 11, 7: 2}","[1, 3, 5, 7]",111315272,Li1B2H11N2
LiMn2P4H11O18,mp-780468,4.4277,0.68630273,0.043060408553233565,"{3: 1, 25: 2, 15: 4, 1: 11, 8: 18}","[1, 3, 8, 15, 25]",11131818154252,Li1Mn2P4H11O18
Li2(BH)11,mp-1210701,3.8952999999999998,2.05271529,0.09810739662202117,"{3: 2, 5: 11, 1: 11}","[1, 3, 5]",11132511,Li2B11H11
LiMg(AlH4)3,mp-1180600,5.0326,-2.35313531,0.032821187205881674,"{3: 1, 12: 1, 13: 3, 1: 12}","[1, 3, 12, 13]",11231121133,Li1Mg1Al3H12
LiB(H3N)4,mp-1201648,5.2719000000000005,2.80272208,0.23396853796296213,"{3: 1, 5: 1, 1: 12, 7: 4}","[1, 3, 5, 7]",112315174,Li1B1H12N4
LiZn(BH4)3,mp-1204713,4.8749,-3.457036,0.02788677536765416,"{3: 1, 30: 1, 5: 3, 1: 12}","[1, 3, 5, 30]",1123153301,Li1Zn1B3H12
LiAl(H3C)4,mp-1204749,4.4613,-2.40073805,0.057167785763889256,"{3: 1, 13: 1, 1: 12, 6: 4}","[1, 3, 6, 13]",1123164131,Li1Al1H12C4
LiH12AuC4(SO3)4,mp-1196087,2.0848,-0.08829253,0.3076391981617652,"{3: 1, 1: 12, 79: 1, 6: 4, 16: 4, 8: 12}","[1, 3, 6, 8, 16, 79]",1123164812164791,Li1H12Au1C4S4O12
