formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Li2Sn(H5O4)2,mp-1195757,4.465,3.89273369,0.0,"{3: 2, 50: 1, 1: 10, 8: 8}","[1, 3, 8, 50]",1103288501,Li2Sn1H10O8
LiH,mp-23703,2.981,-0.99767685,0.0,"{3: 1, 1: 1}","[1, 3]",1131,Li1H1
LiHS,mp-644419,3.5253,-0.10720894,0.0,"{3: 1, 1: 1, 16: 1}","[1, 3, 16]",1131161,Li1H1S1
LiCa3As2H,mp-1192528,1.4416999999999995,2.72117019,0.0,"{3: 1, 20: 3, 33: 2, 1: 1}","[1, 3, 20, 33]",1131203332,Li1Ca3As2H1
Sr3LiAs2H,mp-1192357,1.4556,2.26704998,0.0,"{38: 3, 3: 1, 33: 2, 1: 1}","[1, 3, 33, 38]",1131332383,Sr3Li1As2H1
LiHPd,mp-1018133,0.0,3.93875244,0.0,"{3: 1, 1: 1, 46: 1}","[1, 3, 46]",1131461,Li1H1Pd1
NaLiSiB3HO8,mp-558267,5.0818,0.62636467,0.0,"{11: 1, 3: 1, 14: 1, 5: 3, 1: 1, 8: 8}","[1, 3, 5, 8, 11, 14]",11315388111141,Na1Li1Si1B3H1O8
LiCa2HC3,mp-1104693,1.2992,3.79123141,0.0,"{3: 1, 20: 2, 1: 1, 6: 3}","[1, 3, 6, 20]",113163202,Li1Ca2H1C3
LiHO,mp-23856,4.0057,-1.90379562,0.0,"{3: 1, 1: 1, 8: 1}","[1, 3, 8]",113181,Li1H1O1
LiCa2Mn2Si5HO15,mp-1202461,3.4069000000000003,3.10937681,0.0,"{3: 1, 20: 2, 25: 2, 14: 5, 1: 1, 8: 15}","[1, 3, 8, 14, 20, 25]",1131815145202252,Li1Ca2Mn2Si5H1O15
LiTlPHO3,mp-772968,3.7371999999999996,1.20583274,0.0,"{3: 1, 81: 1, 15: 1, 1: 1, 8: 3}","[1, 3, 8, 15, 81]",113183151811,Li1Tl1P1H1O3
LiHSeO3,mp-23843,4.3019,-0.59750214,0.0,"{3: 1, 1: 1, 34: 1, 8: 3}","[1, 3, 8, 34]",113183341,Li1H1Se1O3
LiHSO4,mp-643458,5.9636,-1.02322675,0.0,"{3: 1, 1: 1, 16: 1, 8: 4}","[1, 3, 8, 16]",113184161,Li1H1S1O4
LiVPHO5,mp-753560,1.8043,2.57525207,0.0,"{3: 1, 23: 1, 15: 1, 1: 1, 8: 5}","[1, 3, 8, 15, 23]",113185151231,Li1V1P1H1O5
LiCrPHO5,mp-753051,0.06679999999999975,3.44880785,0.0,"{3: 1, 24: 1, 15: 1, 1: 1, 8: 5}","[1, 3, 8, 15, 24]",113185151241,Li1Cr1P1H1O5
LiZnP2HO7,mp-1211621,4.4957,0.37234077,0.0,"{3: 1, 30: 1, 15: 2, 1: 1, 8: 7}","[1, 3, 8, 15, 30]",113187152301,Li1Zn1P2H1O7
LiCd2HSe2O7,mp-697926,3.1466,0.41580164,0.0,"{3: 1, 48: 2, 1: 1, 34: 2, 8: 7}","[1, 3, 8, 34, 48]",113187342482,Li1Cd2H1Se2O7
LiHF2,mp-24199,8.0448,-3.44629557,0.0,"{3: 1, 1: 1, 9: 2}","[1, 3, 9]",113192,Li1H1F2
Li2HClO,mp-1120754,4.969200000000001,2.82306566,0.0,"{3: 2, 1: 1, 17: 1, 8: 1}","[1, 3, 8, 17]",113281171,Li2H1Cl1O1
Li2HIO,mp-643069,4.3237,-0.78516399,0.0,"{3: 2, 1: 1, 53: 1, 8: 1}","[1, 3, 8, 53]",113281531,Li2H1I1O1
Li2ScP2HO8,mp-1222849,4.7658000000000005,0.90523788,0.0,"{3: 2, 21: 1, 15: 2, 1: 1, 8: 8}","[1, 3, 8, 15, 21]",113288152211,Li2Sc1P2H1O8
Li2InP2HO8,mp-1222810,3.9210000000000003,1.5515499,0.0,"{3: 2, 49: 1, 15: 2, 1: 1, 8: 8}","[1, 3, 8, 15, 49]",113288152491,Li2In1P2H1O8
Li3TeHO4,mp-696949,3.3657999999999997,0.70784245,0.0,"{3: 3, 52: 1, 1: 1, 8: 4}","[1, 3, 8, 52]",113384521,Li3Te1H1O4
