formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Zr6Al2NiH10,mp-697624,0.0,5.25082642,0.12437459354067126,"{40: 6, 13: 2, 28: 1, 1: 10}","[1, 13, 28, 40]",110132281406,Zr6Al2Ni1H10
Zr6Ga2NiH10,mp-1207411,0.0,4.80145995,0.08841581884210115,"{40: 6, 31: 2, 28: 1, 1: 10}","[1, 28, 31, 40]",110281312406,Zr6Ga2Ni1H10
Zr6Ni(SnH5)2,mp-24672,0.0,6.31571292,0.08566930947368068,"{40: 6, 28: 1, 50: 2, 1: 10}","[1, 28, 40, 50]",110281406502,Zr6Ni1Sn2H10
NiH10C2(N2O3)2,mp-735029,4.1271,-0.0582139,0.07418094608695824,"{28: 1, 1: 10, 6: 2, 7: 4, 8: 6}","[1, 6, 7, 8, 28]",110627486281,Ni1H10C2N4O6
NiH10C4(SN4)2,mp-698358,1.9155,1.75882711,0.04555835208332404,"{28: 1, 1: 10, 6: 4, 16: 2, 7: 8}","[1, 6, 7, 16, 28]",1106478162281,Ni1H10C4S2N8
NiH10(SeO5)2,mp-1181715,3.8277,-0.76832714,0.0,"{28: 1, 1: 10, 34: 2, 8: 10}","[1, 8, 28, 34]",110810281342,Ni1H10Se2O10
NaMg14Ni,mp-1028368,0.0,3.3153992,0.11319040387212675,"{11: 1, 12: 14, 28: 1}","[11, 12, 28]",1111214281,Na1Mg14Ni1
NaMg6Ni,mp-1022005,0.0,3.45120991,0.1943266189942534,"{11: 1, 12: 6, 28: 1}","[11, 12, 28]",111126281,Na1Mg6Ni1
NaAl3NiCl12,mp-568785,1.2562,0.47908218,0.0,"{11: 1, 13: 3, 28: 1, 17: 12}","[11, 13, 17, 28]",1111331712281,Na1Al3Ni1Cl12
MgNiH,mp-1008881,0.0,4.57144649,0.038379599189814595,"{12: 1, 28: 1, 1: 1}","[1, 12, 28]",11121281,Mg1Ni1H1
NaCu3NiSe4,mp-1179901,0.0,2.81992086,0.07995717907407673,"{11: 1, 29: 3, 28: 1, 34: 4}","[11, 28, 29, 34]",111281293344,Na1Cu3Ni1Se4
NaTaNi,mp-631337,0.0,3.38714144,1.649500366166663,"{11: 1, 73: 1, 28: 1}","[11, 28, 73]",111281731,Na1Ta1Ni1
NaNi3,mp-976872,0.0,5.48049649,0.5164445633620698,"{11: 1, 28: 3}","[11, 28]",111283,Na1Ni3
La2AlNi9H,mp-567838,0.0,8.21215508,0.03735715863247613,"{57: 2, 13: 1, 28: 9, 1: 1}","[1, 13, 28, 57]",11131289572,La2Al1Ni9H1
CaNiGeH,mp-1095188,0.0,4.16685045,0.030244845000000353,"{20: 1, 28: 1, 32: 1, 1: 1}","[1, 20, 28, 32]",11201281321,Ca1Ni1Ge1H1
CaNi5H,mp-1078093,0.0,6.05690811,0.0537423511904791,"{20: 1, 28: 5, 1: 1}","[1, 20, 28]",11201285,Ca1Ni5H1
Ca2Ni10H,mp-1104215,0.0,5.83400941,0.027150853141026055,"{20: 2, 28: 10, 1: 1}","[1, 20, 28]",112022810,Ca2Ni10H1
Ca4Ni20H,mp-1190866,0.0,6.05392736,0.02662912543333462,"{20: 4, 28: 20, 1: 1}","[1, 20, 28]",112042820,Ca4Ni20H1
La2Al(Ni3H4)3,mp-1191246,0.0,7.0935483,0.21194968302082628,"{57: 2, 13: 1, 28: 9, 1: 12}","[1, 13, 28, 57]",112131289572,La2Al1Ni9H12
TiNiH,mp-1071458,0.0,6.56111572,0.1925232231249998,"{22: 1, 28: 1, 1: 1}","[1, 22, 28]",11221281,Ti1Ni1H1
Ti2NiH,mp-644259,0.0,6.69285456,0.07547196406250123,"{22: 2, 28: 1, 1: 1}","[1, 22, 28]",11222281,Ti2Ni1H1
Na2NiSn,mp-1221338,0.0,4.67619988,0.3104862106666668,"{11: 2, 28: 1, 50: 1}","[11, 28, 50]",112281501,Na2Ni1Sn1
LiNiH12(SO7)2,mp-781684,0.47409999999999997,-0.67494002,0.06441962562499892,"{3: 1, 28: 1, 1: 12, 16: 2, 8: 14}","[1, 3, 8, 16, 28]",11231814162281,Li1Ni1H12S2O14
Li2NiH12(SO7)2,mp-771658,4.8361,-0.49477678,0.0453213330645168,"{3: 2, 28: 1, 1: 12, 16: 2, 8: 14}","[1, 3, 8, 16, 28]",11232814162281,Li2Ni1H12S2O14
MgNiB2P2(H3O4)4,mp-1224736,4.5703,4.76484841,0.0010720531967916003,"{12: 1, 28: 1, 5: 2, 15: 2, 1: 12, 8: 16}","[1, 5, 8, 12, 15, 28]",11252816121152281,Mg1Ni1B2P2H12O16
Ni3H12C10NO6,mp-559247,1.6887,0.72792118,0.42811799707031195,"{28: 3, 1: 12, 6: 10, 7: 1, 8: 6}","[1, 6, 7, 8, 28]",1126107186283,Ni3H12C10N1O6
NiH12C2(SN3)2,mp-23975,0.22620000000000007,1.03613112,0.06110391965580231,"{28: 1, 1: 12, 6: 2, 16: 2, 7: 6}","[1, 6, 7, 16, 28]",1126276162281,Ni1H12C2S2N6
CoNiH12C4(N2O3)2,mp-728693,2.2588,-1.86246354,0.25862378104166694,"{27: 1, 28: 1, 1: 12, 6: 4, 7: 4, 8: 6}","[1, 6, 7, 8, 27, 28]",112647486271281,Co1Ni1H12C4N4O6
NiH12C4(N2O3)2,mp-572503,2.1498999999999997,0.01005285,0.46249309358024515,"{28: 1, 1: 12, 6: 4, 7: 4, 8: 6}","[1, 6, 7, 8, 28]",112647486281,Ni1H12C4N4O6
NiH12(C2O5)2,mp-1180155,0.3661000000000001,-1.78225434,0.51771916226852,"{28: 1, 1: 12, 6: 4, 8: 10}","[1, 6, 8, 28]",11264810281,Ni1H12C4O10
K2NiH12(C2O7)2,mp-554044,3.1717,-0.90803056,0.03880410787879285,"{19: 2, 28: 1, 1: 12, 6: 4, 8: 14}","[1, 6, 8, 19, 28]",11264814192281,K2Ni1H12C4O14
