formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
SiB11H10C4F11,mp-559162,3.4362,-1.59557363,0.09952554757449761,"{14: 1, 5: 11, 1: 10, 6: 4, 9: 11}","[1, 5, 6, 9, 14]",11051164911141,Si1B11H10C4F11
SiH10C2N4(OF3)2,mp-722686,5.5053,-1.29902604,0.025045011533319617,"{14: 1, 1: 10, 6: 2, 7: 4, 8: 2, 9: 6}","[1, 6, 7, 8, 9, 14]",11062748296141,Si1H10C2N4O2F6
CaAl2Si6H10O21,mp-1214127,5.1377999999999995,4.89484064,0.013151776354174416,"{20: 1, 13: 2, 14: 6, 1: 10, 8: 21}","[1, 8, 13, 14, 20]",110821132146201,Ca1Al2Si6H10O21
Ca2Al4Si4H10O21,mp-1197037,4.9859,5.418697,0.011706912256101099,"{20: 2, 13: 4, 14: 4, 1: 10, 8: 21}","[1, 8, 13, 14, 20]",110821134144202,Ca2Al4Si4H10O21
SiH10(O2F3)2,mp-722246,6.5957,-2.97113968,0.0,"{14: 1, 1: 10, 8: 4, 9: 6}","[1, 8, 9, 14]",1108496141,Si1H10O4F6
Na2Si(H5O4)2,mp-707840,4.6022,-1.13046401,0.001025158690477035,"{11: 2, 14: 1, 1: 10, 8: 8}","[1, 8, 11, 14]",11088112141,Na2Si1H10O8
NaMg14Si,mp-1026712,0.0,3.56679683,0.0911194674137934,"{11: 1, 12: 14, 14: 1}","[11, 12, 14]",1111214141,Na1Mg14Si1
NaMg6Si,mp-1021166,0.0,3.64885108,0.1689542842025864,"{11: 1, 12: 6, 14: 1}","[11, 12, 14]",111126141,Na1Mg6Si1
NaAlSi,mp-27335,0.0,4.47273968,0.0,"{11: 1, 13: 1, 14: 1}","[11, 13, 14]",111131141,Na1Al1Si1
NaAlSi4,mp-38994,0.0,6.18135918,0.37273741249999937,"{11: 1, 13: 1, 14: 4}","[11, 13, 14]",111131144,Na1Al1Si4
NaSi,mp-2402,1.1286,2.33663347,0.0,"{11: 1, 14: 1}","[11, 14]",111141,Na1Si1
NaSm3SiS7,mp-12485,2.0169,3.80051384,0.026439844583330263,"{11: 1, 62: 3, 14: 1, 16: 7}","[11, 14, 16, 62]",111141167623,Na1Sm3Si1S7
NaSiAu3,mp-13673,0.0,4.79684638,0.0,"{11: 1, 14: 1, 79: 3}","[11, 14, 79]",111141793,Na1Si1Au3
NaSi2Pd3,mp-4276,0.0,5.15923969,0.0,"{11: 1, 14: 2, 46: 3}","[11, 14, 46]",111142463,Na1Si2Pd3
NaSi34,mp-1220929,0.0,4.98710588,0.11698316981280676,"{11: 1, 14: 34}","[11, 14]",1111434,Na1Si34
NaSi6,mp-1104400,0.0,5.99874661,0.06209945874999789,"{11: 1, 14: 6}","[11, 14]",111146,Na1Si6
NaSi68,mp-1220969,0.043099999999999916,4.92855907,0.12214223309345229,"{11: 1, 14: 68}","[11, 14]",1111468,Na1Si68
Rb7NaSi8,mp-1202504,1.6935,1.28995168,0.0,"{37: 7, 11: 1, 14: 8}","[11, 14, 37]",111148377,Rb7Na1Si8
Cs7NaSi8,mp-1199908,1.5773000000000001,1.96441599,0.0,"{55: 7, 11: 1, 14: 8}","[11, 14, 55]",111148557,Cs7Na1Si8
CaAlSiH,mp-568177,0.36939999999999973,5.07915172,0.005182762499999605,"{20: 1, 13: 1, 14: 1, 1: 1}","[1, 13, 14, 20]",11131141201,Ca1Al1Si1H1
SrAlSiH,mp-570485,0.6256999999999993,4.43495982,0.0,"{38: 1, 13: 1, 14: 1, 1: 1}","[1, 13, 14, 38]",11131141381,Sr1Al1Si1H1
SiH,mp-29803,2.1634,0.8123729,0.04131177843749967,"{14: 1, 1: 1}","[1, 14]",11141,Si1H1
CaGaSiH,mp-1018090,0.34160000000000057,4.39444856,0.04970547249999946,"{20: 1, 31: 1, 14: 1, 1: 1}","[1, 14, 20, 31]",11141201311,Ca1Ga1Si1H1
SrGaSiH,mp-979137,0.41690000000000005,3.95087231,0.00400534760416571,"{38: 1, 31: 1, 14: 1, 1: 1}","[1, 14, 31, 38]",11141311381,Sr1Ga1Si1H1
