formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
SiH10(O2F3)2,mp-722246,6.5957,-2.97113968,0.0,"{14: 1, 1: 10, 8: 4, 9: 6}","[1, 8, 9, 14]",1108496141,Si1H10O4F6
NaAlSi,mp-27335,0.0,4.47273968,0.0,"{11: 1, 13: 1, 14: 1}","[11, 13, 14]",111131141,Na1Al1Si1
NaSi,mp-2402,1.1286,2.33663347,0.0,"{11: 1, 14: 1}","[11, 14]",111141,Na1Si1
NaSiAu3,mp-13673,0.0,4.79684638,0.0,"{11: 1, 14: 1, 79: 3}","[11, 14, 79]",111141793,Na1Si1Au3
NaSi2Pd3,mp-4276,0.0,5.15923969,0.0,"{11: 1, 14: 2, 46: 3}","[11, 14, 46]",111142463,Na1Si2Pd3
Rb7NaSi8,mp-1202504,1.6935,1.28995168,0.0,"{37: 7, 11: 1, 14: 8}","[11, 14, 37]",111148377,Rb7Na1Si8
Cs7NaSi8,mp-1199908,1.5773000000000001,1.96441599,0.0,"{55: 7, 11: 1, 14: 8}","[11, 14, 55]",111148557,Cs7Na1Si8
SrAlSiH,mp-570485,0.6256999999999993,4.43495982,0.0,"{38: 1, 13: 1, 14: 1, 1: 1}","[1, 13, 14, 38]",11131141381,Sr1Al1Si1H1
CeSiHRu,mp-604496,0.0,7.62361403,0.0,"{58: 1, 14: 1, 1: 1, 44: 1}","[1, 14, 44, 58]",11141441581,Ce1Si1H1Ru1
Hf2SiH,mp-1181094,0.0,6.46886015,0.0,"{72: 2, 14: 1, 1: 1}","[1, 14, 72]",11141722,Hf2Si1H1
Na2In2SiS6,mp-1190138,2.2375,1.81625948,0.0,"{11: 2, 49: 2, 14: 1, 16: 6}","[11, 14, 16, 49]",112141166492,Na2In2Si1S6
Na2Si2S5,mp-18104,3.5318,1.45906198,0.0,"{11: 2, 14: 2, 16: 5}","[11, 14, 16]",112142165,Na2Si2S5
Na2Si2Se5,mp-18562,2.4355,1.10121777,0.0,"{11: 2, 14: 2, 34: 5}","[11, 14, 34]",112142345,Na2Si2Se5
SiNiH12(OF)6,mp-40144,5.1913,-1.90072868,0.0,"{14: 1, 28: 1, 1: 12, 8: 6, 9: 6}","[1, 8, 9, 14, 28]",1128696141281,Si1Ni1H12O6F6
ZnSiH12(OF)6,mp-40134,5.0995,-2.3068739,0.0,"{30: 1, 14: 1, 1: 12, 8: 6, 9: 6}","[1, 8, 9, 14, 30]",1128696141301,Zn1Si1H12O6F6
K2Na3SiP3,mp-541694,0.8900999999999999,1.94149242,0.0,"{19: 2, 11: 3, 14: 1, 15: 3}","[11, 14, 15, 19]",113141153192,K2Na3Si1P3
Na3SiSe4,mp-28303,1.7548000000000001,1.07745785,0.0,"{11: 3, 14: 1, 34: 4}","[11, 14, 34]",113141344,Na3Si1Se4
Na3SiTe3,mp-17291,1.8159,2.31161599,0.0,"{11: 3, 14: 1, 52: 3}","[11, 14, 52]",113141523,Na3Si1Te3
NaLiSiB3HO8,mp-558267,5.0818,0.62636467,0.0,"{11: 1, 3: 1, 14: 1, 5: 3, 1: 1, 8: 8}","[1, 3, 5, 8, 11, 14]",11315388111141,Na1Li1Si1B3H1O8
LiCa2Mn2Si5HO15,mp-1202461,3.4069000000000003,3.10937681,0.0,"{3: 1, 20: 2, 25: 2, 14: 5, 1: 1, 8: 15}","[1, 3, 8, 14, 20, 25]",1131815145202252,Li1Ca2Mn2Si5H1O15
Na4Mg(SiSe3)2,mp-1103351,2.7632000000000003,1.79424014,0.0,"{11: 4, 12: 1, 14: 2, 34: 6}","[11, 12, 14, 34]",114121142346,Na4Mg1Si2Se6
Na4Ca2SiP4,mp-1221207,1.0094000000000003,3.7875865,0.0,"{11: 4, 20: 2, 14: 1, 15: 4}","[11, 14, 15, 20]",114141154202,Na4Ca2Si1P4
Na4Sr2SiP4,mp-1221153,0.9527000000000001,3.37252655,0.0,"{11: 4, 38: 2, 14: 1, 15: 4}","[11, 14, 15, 38]",114141154382,Na4Sr2Si1P4
Na4Eu2SiP4,mp-1221229,0.0,3.6293822,0.0,"{11: 4, 63: 2, 14: 1, 15: 4}","[11, 14, 15, 63]",114141154632,Na4Eu2Si1P4
Na4Ca2SiAs4,mp-1221206,0.6318999999999999,3.06312385,0.0,"{11: 4, 20: 2, 14: 1, 33: 4}","[11, 14, 20, 33]",114141202334,Na4Ca2Si1As4
Na4Sr2SiAs4,mp-1221154,0.5886,2.67677285,0.0,"{11: 4, 38: 2, 14: 1, 33: 4}","[11, 14, 33, 38]",114141334382,Na4Sr2Si1As4
Na4Eu2SiAs4,mp-1221214,0.0,3.06575139,0.0,"{11: 4, 63: 2, 14: 1, 33: 4}","[11, 14, 33, 63]",114141334632,Na4Eu2Si1As4
Na4SiSe4,mp-30931,2.1322,0.97346008,0.0,"{11: 4, 14: 1, 34: 4}","[11, 14, 34]",114141344,Na4Si1Se4
Na4Eu(SiSe3)2,mp-1221181,0.9075999999999995,4.33246839,0.0,"{11: 4, 63: 1, 14: 2, 34: 6}","[11, 14, 34, 63]",114142346631,Na4Eu1Si2Se6
Na4Si2PbSe6,mp-1221146,2.0895,4.27985779,0.0,"{11: 4, 14: 2, 82: 1, 34: 6}","[11, 14, 34, 82]",114142346821,Na4Si2Pb1Se6
Na4Si2Te5,mp-569337,1.8779000000000003,2.59968701,0.0,"{11: 4, 14: 2, 52: 5}","[11, 14, 52]",114142525,Na4Si2Te5
Na4Eu(SiTe3)2,mp-1221196,0.5257999999999998,4.43708518,0.0,"{11: 4, 63: 1, 14: 2, 52: 6}","[11, 14, 52, 63]",114142526631,Na4Eu1Si2Te6
NaBeSi3HO8,mp-556001,5.2827,1.90121543,0.0,"{11: 1, 4: 1, 14: 3, 1: 1, 8: 8}","[1, 4, 8, 11, 14]",114188111143,Na1Be1Si3H1O8
SiH14(OF)6,mp-1209032,6.2972,3.38951448,0.0,"{14: 1, 1: 14, 8: 6, 9: 6}","[1, 8, 9, 14]",1148696141,Si1H14O6F6
Na5SiP3,mp-5929,1.1432000000000002,2.80266352,0.0,"{11: 5, 14: 1, 15: 3}","[11, 14, 15]",115141153,Na5Si1P3
Na5SiAs3,mp-18139,1.0276999999999998,2.28241386,0.0,"{11: 5, 14: 1, 33: 3}","[11, 14, 33]",115141333,Na5Si1As3
Na6Si2Se7,mp-16961,2.1551,1.01075453,0.0,"{11: 6, 14: 2, 34: 7}","[11, 14, 34]",116142347,Na6Si2Se7
Na8Zr3Si16Sn(H4O13)4,mp-1221041,4.433,4.91352318,0.0,"{11: 8, 40: 3, 14: 16, 50: 1, 1: 16, 8: 52}","[1, 8, 11, 14, 40, 50]",1168521181416403501,Na8Zr3Si16Sn1H16O52
K2InSi4HO11,mp-775466,3.7414000000000005,1.07492053,0.0,"{19: 2, 49: 1, 14: 4, 1: 1, 8: 11}","[1, 8, 14, 19, 49]",11811144192491,K2In1Si4H1O11
Na4Al3Si3HO13,mp-39140,4.0558000000000005,0.46478134,0.0,"{11: 4, 13: 3, 14: 3, 1: 1, 8: 13}","[1, 8, 11, 13, 14]",11813114133143,Na4Al3Si3H1O13
K2NaCa2TiSi7HO20,mp-720410,3.4517,4.58713428,0.0,"{19: 2, 11: 1, 20: 2, 22: 1, 14: 7, 1: 1, 8: 20}","[1, 8, 11, 14, 19, 20, 22]",11820111147192202221,K2Na1Ca2Ti1Si7H1O20
KSiHO3,mp-707195,4.768199999999999,0.14661194,0.0,"{19: 1, 14: 1, 1: 1, 8: 3}","[1, 8, 14, 19]",1183141191,K1Si1H1O3
NaCaSiHO4,mp-634418,4.4923,1.42958548,0.0,"{11: 1, 20: 1, 14: 1, 1: 1, 8: 4}","[1, 8, 11, 14, 20]",1184111141201,Na1Ca1Si1H1O4
NaZnSiHO4,mp-699219,3.4269,0.67180708,0.0,"{11: 1, 30: 1, 14: 1, 1: 1, 8: 4}","[1, 8, 11, 14, 30]",1184111141301,Na1Zn1Si1H1O4
Rb5SiHO5,mp-861513,2.5914,0.76175811,0.0,"{37: 5, 14: 1, 1: 1, 8: 5}","[1, 8, 14, 37]",1185141375,Rb5Si1H1O5
KSi2HO5,mp-1203642,5.0122,-0.01856024,0.0,"{19: 1, 14: 2, 1: 1, 8: 5}","[1, 8, 14, 19]",1185142191,K1Si2H1O5
CsSi2HO5,mp-1226125,4.7013,-0.0286422,0.0,"{55: 1, 14: 2, 1: 1, 8: 5}","[1, 8, 14, 55]",1185142551,Cs1Si2H1O5
NaCa2Si3HO9,mp-23792,4.848599999999999,1.6570081,0.0,"{11: 1, 20: 2, 14: 3, 1: 1, 8: 9}","[1, 8, 11, 14, 20]",1189111143202,Na1Ca2Si3H1O9
Na2AlSi3HO9,mp-706617,4.671099999999999,0.8012375,0.0,"{11: 2, 13: 1, 14: 3, 1: 1, 8: 9}","[1, 8, 11, 13, 14]",1189112131143,Na2Al1Si3H1O9
Na9Sm(SiSe3)4,mp-1220844,2.3998999999999997,1.51316892,0.0,"{11: 9, 62: 1, 14: 4, 34: 12}","[11, 14, 34, 62]",1191443412621,Na9Sm1Si4Se12
MgSiP2,mp-2961,1.3728000000000007,4.14841178,0.0,"{12: 1, 14: 1, 15: 2}","[12, 14, 15]",121141152,Mg1Si1P2
CaMgSi,mp-5473,0.0,4.41301058,0.0,"{20: 1, 12: 1, 14: 1}","[12, 14, 20]",121141201,Ca1Mg1Si1
MgSiAs2,mp-1016197,1.3031999999999995,3.34683907,0.0,"{12: 1, 14: 1, 33: 2}","[12, 14, 33]",121141332,Mg1Si1As2
SrMgSi,mp-15642,0.03299999999999992,3.96555844,0.0,"{38: 1, 12: 1, 14: 1}","[12, 14, 38]",121141381,Sr1Mg1Si1
MgSiRh2,mp-866087,0.0,8.38516166,0.0,"{12: 1, 14: 1, 45: 2}","[12, 14, 45]",121141452,Mg1Si1Rh2
Pm2MgSi,mp-863696,0.0,4.72282169,0.0,"{61: 2, 12: 1, 14: 1}","[12, 14, 61]",121141612,Pm2Mg1Si1
EuMgSi,mp-1102652,0.0,4.12343029,0.0,"{63: 1, 12: 1, 14: 1}","[12, 14, 63]",121141631,Eu1Mg1Si1
MgSiIr2,mp-866086,0.0,10.02761156,0.0,"{12: 1, 14: 1, 77: 2}","[12, 14, 77]",121141772,Mg1Si1Ir2
La6Mg(SiS7)2,mp-1223141,1.9699,5.29862965,0.0,"{57: 6, 12: 1, 14: 2, 16: 14}","[12, 14, 16, 57]",1211421614576,La6Mg1Si2S14
SrMgSi2,mp-29002,0.0,5.07039545,0.0,"{38: 1, 12: 1, 14: 2}","[12, 14, 38]",121142381,Sr1Mg1Si2
LaMgSi2,mp-568173,0.0,7.40357793,0.0,"{57: 1, 12: 1, 14: 2}","[12, 14, 57]",121142571,La1Mg1Si2
La2MgSi2,mp-1205762,0.0,6.97733786,0.0,"{57: 2, 12: 1, 14: 2}","[12, 14, 57]",121142572,La2Mg1Si2
CeMgSi2,mp-3545,0.0,7.37839927,0.0,"{58: 1, 12: 1, 14: 2}","[12, 14, 58]",121142581,Ce1Mg1Si2
Ce2MgSi2,mp-505296,0.0,7.10789609,0.0,"{58: 2, 12: 1, 14: 2}","[12, 14, 58]",121142582,Ce2Mg1Si2
PrMgSi2,mp-569384,0.0,5.81753863,0.0,"{59: 1, 12: 1, 14: 2}","[12, 14, 59]",121142591,Pr1Mg1Si2
Pr2MgSi2,mp-1205589,0.0,4.67727157,0.0,"{59: 2, 12: 1, 14: 2}","[12, 14, 59]",121142592,Pr2Mg1Si2
NdMgSi2,mp-568049,0.0,5.82711109,0.0,"{60: 1, 12: 1, 14: 2}","[12, 14, 60]",121142601,Nd1Mg1Si2
Nd2MgSi2,mp-1205494,0.0,4.6637032,0.0,"{60: 2, 12: 1, 14: 2}","[12, 14, 60]",121142602,Nd2Mg1Si2
Sm2MgSi2,mp-1208848,0.0,4.65763606,0.0,"{62: 2, 12: 1, 14: 2}","[12, 14, 62]",121142622,Sm2Mg1Si2
Gd2MgSi2,mp-1205813,0.0,4.73513532,0.0,"{64: 2, 12: 1, 14: 2}","[12, 14, 64]",121142642,Gd2Mg1Si2
Tb2MgSi2,mp-1205816,0.0,4.94184728,0.0,"{65: 2, 12: 1, 14: 2}","[12, 14, 65]",121142652,Tb2Mg1Si2
Dy2MgSi2,mp-570561,0.0,4.8030281,0.0,"{66: 2, 12: 1, 14: 2}","[12, 14, 66]",121142662,Dy2Mg1Si2
Ho2MgSi2,mp-1205678,0.0,4.94803956,0.0,"{67: 2, 12: 1, 14: 2}","[12, 14, 67]",121142672,Ho2Mg1Si2
Er2MgSi2,mp-1206813,0.0,4.97391059,0.0,"{68: 2, 12: 1, 14: 2}","[12, 14, 68]",121142682,Er2Mg1Si2
Tm2MgSi2,mp-1206569,0.0,4.9624329,0.0,"{69: 2, 12: 1, 14: 2}","[12, 14, 69]",121142692,Tm2Mg1Si2
MgSi7Ir3,mp-13241,0.0,8.82817808,0.0,"{12: 1, 14: 7, 77: 3}","[12, 14, 77]",121147773,Mg1Si7Ir3
Si2H2S3,mp-28090,3.3657,0.30073472,0.0,"{14: 2, 1: 2, 16: 3}","[1, 14, 16]",12142163,Si2H2S3
Mg15Si2Ir5,mp-568029,0.0,4.89244713,0.0,"{12: 15, 14: 2, 77: 5}","[12, 14, 77]",1215142775,Mg15Si2Ir5
Mg2Si,mp-1367,0.21799999999999997,3.40203031,0.0,"{12: 2, 14: 1}","[12, 14]",122141,Mg2Si1
Mg2SiS4,mp-1193963,2.9690999999999996,6.22807774,0.0,"{12: 2, 14: 1, 16: 4}","[12, 14, 16]",122141164,Mg2Si1S4
Mg2SiNi3,mp-15779,0.0,7.06593991,0.0,"{12: 2, 14: 1, 28: 3}","[12, 14, 28]",122141283,Mg2Si1Ni3
Mg2SiSe4,mp-1192582,2.131,4.70185541,0.0,"{12: 2, 14: 1, 34: 4}","[12, 14, 34]",122141344,Mg2Si1Se4
Mg2SiPt,mp-14793,0.0,7.05286104,0.0,"{12: 2, 14: 1, 78: 1}","[12, 14, 78]",122141781,Mg2Si1Pt1
La(MgSi)2,mp-1206521,0.0,6.67152309,0.0,"{57: 1, 12: 2, 14: 2}","[12, 14, 57]",122142571,La1Mg2Si2
Ce(MgSi)2,mp-19865,0.0,6.45158962,0.0,"{58: 1, 12: 2, 14: 2}","[12, 14, 58]",122142581,Ce1Mg2Si2
La6Mg23Si,mp-1211430,0.0,3.72171249,0.0,"{57: 6, 12: 23, 14: 1}","[12, 14, 57]",1223141576,La6Mg23Si1
