formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Sr2Mg3H10,mp-707440,2.8642000000000003,0.93572821,0.0027838159999995504,"{38: 2, 12: 3, 1: 10}","[1, 12, 38]",110123382,Sr2Mg3H10
SrP3H10C3NO9,mp-1202041,5.5533,5.47402115,0.116133526342594,"{38: 1, 15: 3, 1: 10, 6: 3, 7: 1, 8: 9}","[1, 6, 7, 8, 15, 38]",110637189153381,Sr1P3H10C3N1O9
SrPH10S3O5,mp-1201697,3.266,3.77834091,0.024947000312483425,"{38: 1, 15: 1, 1: 10, 16: 3, 8: 5}","[1, 8, 15, 16, 38]",11085151163381,Sr1P1H10S3O5
SrSn2H10Cl6O5,mp-1198973,3.8478000000000003,4.14616952,0.011126573854165933,"{38: 1, 50: 2, 1: 10, 17: 6, 8: 5}","[1, 8, 17, 38, 50]",11085176381502,Sr1Sn2H10Cl6O5
SrSn2H10Br6O5,mp-1202840,2.9101,0.16743164,0.033459206499999006,"{38: 1, 50: 2, 1: 10, 35: 6, 8: 5}","[1, 8, 35, 38, 50]",11085356381502,Sr1Sn2H10Br6O5
SrH10Pb2Br6O5,mp-1198495,3.5797999999999996,-0.00175909,0.010854310666666755,"{38: 1, 1: 10, 82: 2, 35: 6, 8: 5}","[1, 8, 35, 38, 82]",11085356381822,Sr1H10Pb2Br6O5
SrH10(SO4)2,mp-697285,4.1852,-0.08468756,0.059061978720238884,"{38: 1, 1: 10, 16: 2, 8: 8}","[1, 8, 16, 38]",11088162381,Sr1H10S2O8
Na10SrSn12,mp-30253,0.6698,3.19596981,0.0,"{11: 10, 38: 1, 50: 12}","[11, 38, 50]",11103815012,Na10Sr1Sn12
NaSr2Mg,mp-1096360,0.0,-1.98483706,1.1756115984051725,"{11: 1, 38: 2, 12: 1}","[11, 12, 38]",111121382,Na1Sr2Mg1
NaSrMg14,mp-1026674,0.0,2.80155133,0.10364741866379323,"{11: 1, 38: 1, 12: 14}","[11, 12, 38]",1111214381,Na1Sr1Mg14
NaSrMg6,mp-1017360,0.0,2.52850487,0.1469142354525863,"{11: 1, 38: 1, 12: 6}","[11, 12, 38]",111126381,Na1Sr1Mg6
NaSr2AlP3,mp-620652,0.31220000000000026,3.95434646,0.0,"{11: 1, 38: 2, 13: 1, 15: 3}","[11, 13, 15, 38]",111131153382,Na1Sr2Al1P3
NaSrP,mp-13275,1.2357,2.58578418,0.0,"{11: 1, 38: 1, 15: 1}","[11, 15, 38]",111151381,Na1Sr1P1
NaSr2Ca,mp-1097635,0.0,-1.97273818,1.2382424325287342,"{11: 1, 38: 2, 20: 1}","[11, 20, 38]",111201382,Na1Sr2Ca1
NaSr4(FeAs)10,mp-1221018,0.0,4.90748329,0.0007855384000006183,"{11: 1, 38: 4, 26: 10, 33: 10}","[11, 26, 33, 38]",11126103310384,Na1Sr4Fe10As10
