formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
B11H10SI,mp-1203795,3.4062,1.89430563,0.0,icsd-250517,"{5: 11, 1: 10, 16: 1, 53: 1}","[1, 5, 16, 53]",110511161531,B11H10S1I1
B6H10N,mp-31064,5.6566,-2.67094677,0.0,icsd-98618,"{5: 6, 1: 10, 7: 1}","[1, 5, 7]",1105671,B6H10N1
B9H11,mp-29654,2.9118,-1.99625916,0.0,icsd-43255,"{5: 9, 1: 11}","[1, 5]",11159,B9H11
Ca(BH)12,mp-1196257,4.8911,2.84280377,0.0,icsd-247353,"{20: 1, 5: 12, 1: 12}","[1, 5, 20]",112512201,Ca1B12H12
Sr(BH)12,mp-1200414,5.893599999999999,3.75991497,0.0,icsd-183721,"{38: 1, 5: 12, 1: 12}","[1, 5, 38]",112512381,Sr1B12H12
Ba(BH)12,mp-1203559,5.8133,-2.5129335,0.0,icsd-183722,"{56: 1, 5: 12, 1: 12}","[1, 5, 56]",112512561,Ba1B12H12
Al(BH4)3,mp-569787,6.2431,-4.70100868,0.0,icsd-158291,"{13: 1, 5: 3, 1: 12}","[1, 5, 13]",11253131,Al1B3H12
KSr(BH4)3,mp-1195216,5.7155000000000005,2.4802438,0.0,icsd-431110,"{19: 1, 38: 1, 5: 3, 1: 12}","[1, 5, 19, 38]",11253191381,K1Sr1B3H12
RbSr(BH4)3,mp-1194771,5.242800000000001,2.08511861,0.0,icsd-431108,"{37: 1, 38: 1, 5: 3, 1: 12}","[1, 5, 37, 38]",11253371381,Rb1Sr1B3H12
CsSr(BH4)3,mp-1195599,5.3107,2.60162449,0.0,icsd-431109,"{55: 1, 38: 1, 5: 3, 1: 12}","[1, 5, 38, 55]",11253381551,Cs1Sr1B3H12
Y(BH4)3,mp-571369,4.5766,-3.3669731,0.0,icsd-169075,"{39: 1, 5: 3, 1: 12}","[1, 5, 39]",11253391,Y1B3H12
Ca3B4(H4O)3,mp-1182037,4.7904,-0.6903716,0.0,icsd-182497,"{20: 3, 5: 4, 1: 12, 8: 3}","[1, 5, 8, 20]",1125483203,Ca3B4H12O3
B5H12NO12,mp-703444,5.5022,-2.06590704,0.0,icsd-90001,"{5: 5, 1: 12, 7: 1, 8: 12}","[1, 5, 7, 8]",1125571812,B5H12N1O12
Cs3B6H12S4Br,mp-695929,4.9166,-0.2159295,0.0,icsd-69972,"{55: 3, 5: 6, 1: 12, 16: 4, 35: 1}","[1, 5, 16, 35, 55]",11256164351553,Cs3B6H12S4Br1
Cs3B6H12Se4Br,mp-740711,4.4933000000000005,-0.47105265,0.0,icsd-69973,"{55: 3, 5: 6, 1: 12, 34: 4, 35: 1}","[1, 5, 34, 35, 55]",11256344351553,Cs3B6H12Se4Br1
CdB6H12(N2O5)2,mp-1195051,4.3355999999999995,0.51133561,0.0,icsd-429059,"{48: 1, 5: 6, 1: 12, 7: 4, 8: 10}","[1, 5, 7, 8, 48]",1125674810481,Cd1B6H12N4O10
NaLiSiB3HO8,mp-558267,5.0818,0.62636467,0.0,icsd-249311,"{11: 1, 3: 1, 14: 1, 5: 3, 1: 1, 8: 8}","[1, 3, 5, 8, 11, 14]",11315388111141,Na1Li1Si1B3H1O8
B10H13I,mp-1199051,2.5463,-1.80337041,0.0,icsd-262411,"{5: 10, 1: 13, 53: 1}","[1, 5, 53]",113510531,B10H13I1
Be2BHO4,mp-23883,6.1491,0.38189803,0.0,icsd-34650,"{4: 2, 5: 1, 1: 1, 8: 4}","[1, 4, 5, 8]",11425184,Be2B1H1O4
B10H14S,mp-1199941,2.5518,0.37997286,0.0,icsd-262495,"{5: 10, 1: 14, 16: 1}","[1, 5, 16]",114510161,B10H14S1
Fe3B11HO20,mp-1203485,0.32260000000000044,5.89050369,0.0,icsd-421264,"{26: 3, 5: 11, 1: 1, 8: 20}","[1, 5, 8, 26]",11511820263,Fe3B11H1O20
Ca2BHN2,mp-24266,3.0020000000000007,1.97189858,0.0,icsd-414006,"{20: 2, 5: 1, 1: 1, 7: 2}","[1, 5, 7, 20]",115172202,Ca2B1H1N2
BHS3O11,mp-1200187,5.696299999999999,-1.00909997,0.0,icsd-426422,"{5: 1, 1: 1, 16: 3, 8: 11}","[1, 5, 8, 16]",1151811163,B1H1S3O11
BHO2,mp-1198592,6.2786,-1.41496723,0.0,icsd-183581,"{5: 1, 1: 1, 8: 2}","[1, 5, 8]",115182,B1H1O2
Na2BHO3,mp-556125,3.8105999999999995,0.40732859,0.0,icsd-27211,"{11: 2, 5: 1, 1: 1, 8: 3}","[1, 5, 8, 11]",115183112,Na2B1H1O3
MgBHO3,mp-23748,5.4376999999999995,1.43306323,0.0,icsd-161275,"{12: 1, 5: 1, 1: 1, 8: 3}","[1, 5, 8, 12]",115183121,Mg1B1H1O3
CaBHO3,mp-1192226,4.963699999999999,0.66704906,0.0,icsd-181633,"{20: 1, 5: 1, 1: 1, 8: 3}","[1, 5, 8, 20]",115183201,Ca1B1H1O3
BH(PbO2)2,mp-1105235,3.0854,1.93197363,0.0,icsd-239886,"{5: 1, 1: 1, 82: 2, 8: 4}","[1, 5, 8, 82]",115184822,B1H1Pb2O4
NaInBP2HO9,mp-1198616,4.1928,1.36601454,0.0,icsd-261806,"{11: 1, 49: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 11, 15, 49]",115189111152491,Na1In1B1P2H1O9
RbAlBP2HO9,mp-542130,5.2635,1.13374221,0.0,icsd-409608,"{37: 1, 13: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 13, 15, 37]",115189131152371,Rb1Al1B1P2H1O9
CsAlBP2HO9,mp-542129,5.2653,1.25920677,0.0,icsd-409607,"{55: 1, 13: 1, 5: 1, 15: 2, 1: 1, 8: 9}","[1, 5, 8, 13, 15, 55]",115189131152551,Cs1Al1B1P2H1O9
