formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
ZnH12C2(N3Cl2)2,mp-707960,4.6886,-1.45137048,0.0,icsd-89682,"{30: 1, 1: 12, 6: 2, 7: 6, 17: 4}","[1, 6, 7, 17, 30]",1126276174301,Zn1H12C2N6Cl4
SnH12C2(NCl)6,mp-1198673,2.8585000000000003,-1.8040183,0.0,icsd-170023,"{50: 1, 1: 12, 6: 2, 7: 6, 17: 6}","[1, 6, 7, 17, 50]",1126276176501,Sn1H12C2N6Cl6
HgH12C2(Br2N3)2,mp-23835,2.7234,-1.27354391,0.0,icsd-260202,"{80: 1, 1: 12, 6: 2, 35: 4, 7: 6}","[1, 6, 7, 35, 80]",1126276354801,Hg1H12C2Br4N6
HgH12C2(I2N3)2,mp-1212424,2.2237999999999998,1.75441362,0.0,pf-16378,"{80: 1, 1: 12, 6: 2, 53: 4, 7: 6}","[1, 6, 7, 53, 80]",1126276534801,Hg1H12C2I4N6
SbH12C2N6F5,mp-697558,4.946,-1.24304853,0.0,icsd-79544,"{51: 1, 1: 12, 6: 2, 7: 6, 9: 5}","[1, 6, 7, 9, 51]",112627695511,Sb1H12C2N6F5
SiH12C2(NF)6,mp-697253,5.1979,-1.16257277,0.0,icsd-59237,"{14: 1, 1: 12, 6: 2, 7: 6, 9: 6}","[1, 6, 7, 9, 14]",112627696141,Si1H12C2N6F6
TiH12C2(NF)6,mp-696940,2.8272000000000004,-1.52391845,0.0,icsd-36529,"{22: 1, 1: 12, 6: 2, 7: 6, 9: 6}","[1, 6, 7, 9, 22]",112627696221,Ti1H12C2N6F6
ZrH12C2(NF)6,mp-707343,4.3987,-1.77976383,0.0,icsd-68225,"{40: 1, 1: 12, 6: 2, 7: 6, 9: 6}","[1, 6, 7, 9, 40]",112627696401,Zr1H12C2N6F6
FePH12(CCl)4,mp-1194875,1.5822,-2.16242098,0.0,icsd-194586,"{26: 1, 15: 1, 1: 12, 6: 4, 17: 4}","[1, 6, 15, 17, 26]",11264151174261,Fe1P1H12C4Cl4
FePH12(CBr)4,mp-1190395,1.2953,-1.88595814,0.0,icsd-194602,"{26: 1, 15: 1, 1: 12, 6: 4, 35: 4}","[1, 6, 15, 26, 35]",11264151261354,Fe1P1H12C4Br4
LiCa2HC3,mp-1104693,1.2992,3.79123141,0.0,icsd-188224,"{3: 1, 20: 2, 1: 1, 6: 3}","[1, 3, 6, 20]",113163202,Li1Ca2H1C3
NaHCO3,mp-696396,5.282900000000001,-0.34891957,0.0,icsd-26933,"{11: 1, 1: 1, 6: 1, 8: 3}","[1, 6, 8, 11]",116183111,Na1H1C1O3
KHCO3,mp-634431,4.9811,-0.73550765,0.0,icsd-157168,"{19: 1, 1: 1, 6: 1, 8: 3}","[1, 6, 8, 19]",116183191,K1H1C1O3
CsHCO3,mp-1238754,4.9478,4.66457798,0.0,icsd-300259,"{55: 1, 1: 1, 6: 1, 8: 3}","[1, 6, 8, 55]",116183551,Cs1H1C1O3
HC2N3,mp-1201974,2.5302000000000002,1.73302696,0.0,icsd-248330,"{1: 1, 6: 2, 7: 3}","[1, 6, 7]",116273,H1C2N3
K5H(CN2)2,mp-777297,3.8504,0.14893068,0.0,icsd-409559,"{19: 5, 1: 1, 6: 2, 7: 4}","[1, 6, 7, 19]",116274195,K5H1C2N4
Na2YHC2O7,mp-1202901,4.7079,5.24839084,0.0,icsd-245131,"{11: 2, 39: 1, 1: 1, 6: 2, 8: 7}","[1, 6, 8, 11, 39]",116287112391,Na2Y1H1C2O7
SbHC3(NCl3)3,mp-705514,1.9047,-0.69735969,0.0,icsd-74819,"{51: 1, 1: 1, 6: 3, 7: 3, 17: 9}","[1, 6, 7, 17, 51]",116373179511,Sb1H1C3N3Cl9
TbH(CO2)3,mp-1194953,3.3288,3.69578108,0.0,icsd-291558,"{65: 1, 1: 1, 6: 3, 8: 6}","[1, 6, 8, 65]",116386651,Tb1H1C3O6
UH16C3N4O11,mp-1202470,2.3776,-0.52146496,0.0,icsd-20871,"{92: 1, 1: 16, 6: 3, 7: 4, 8: 11}","[1, 6, 7, 8, 92]",1166374811921,U1H16C3N4O11
CoH18CN6ClO3,mp-1204043,2.3067,0.13932731,0.0,icsd-412059,"{27: 1, 1: 18, 6: 1, 7: 6, 17: 1, 8: 3}","[1, 6, 7, 8, 17, 27]",118617683171271,Co1H18C1N6Cl1O3
Sb2H18C3(IN)9,mp-1202009,2.4614000000000003,0.13255521,0.0,icsd-162075,"{51: 2, 1: 18, 6: 3, 53: 9, 7: 9}","[1, 6, 7, 51, 53]",1186379512539,Sb2H18C3I9N9
Bi2H18C3(IN)9,mp-1016214,2.786,0.09339052,0.0,icsd-162078,"{83: 2, 1: 18, 6: 3, 53: 9, 7: 9}","[1, 6, 7, 53, 83]",1186379539832,Bi2H18C3I9N9
AlH18C3(N3F2)3,mp-24554,5.3017,-1.34535725,0.0,icsd-71474,"{13: 1, 1: 18, 6: 3, 7: 9, 9: 6}","[1, 6, 7, 9, 13]",118637996131,Al1H18C3N9F6
GaH18C3(N3F2)3,mp-23984,4.9737,-1.41871302,0.0,icsd-73705,"{31: 1, 1: 18, 6: 3, 7: 9, 9: 6}","[1, 6, 7, 9, 31]",118637996311,Ga1H18C3N9F6
PH18PtC6S3BrF6,mp-1204443,3.0185,-1.30814338,0.0,icsd-281569,"{15: 1, 1: 18, 78: 1, 6: 6, 16: 3, 35: 1, 9: 6}","[1, 6, 9, 15, 16, 35, 78]",1186696151163351781,P1H18Pt1C6S3Br1F6
P2H19C6I7N,mp-1196394,1.5585,0.57465263,0.0,icsd-408390,"{15: 2, 1: 19, 6: 6, 53: 7, 7: 1}","[1, 6, 7, 15, 53]",1196671152537,P2H19C6I7N1
CuBP4H24C8(SF)4,mp-1195164,3.1191,3.20106299,0.0,icsd-195527,"{29: 1, 5: 1, 15: 4, 1: 24, 6: 8, 16: 4, 9: 4}","[1, 5, 6, 9, 15, 16, 29]",124516894154164291,Cu1B1P4H24C8S4F4
CaH24C6Br2(N2O)6,mp-1195960,4.6316,3.38711003,0.0,icsd-246795,"{20: 1, 1: 24, 6: 6, 35: 2, 7: 12, 8: 6}","[1, 6, 7, 8, 20, 35]",1246671286201352,Ca1H24C6Br2N12O6
CuH2CN2Cl,mp-1213613,2.2745999999999995,4.06051658,0.0,pf-12384,"{29: 1, 1: 2, 6: 1, 7: 2, 17: 1}","[1, 6, 7, 17, 29]",126172171291,Cu1H2C1N2Cl1
NaAlH2CO5,mp-644506,4.943,0.82828263,0.0,icsd-100140,"{11: 1, 13: 1, 1: 2, 6: 1, 8: 5}","[1, 6, 8, 11, 13]",126185111131,Na1Al1H2C1O5
KAlH2CO5,mp-644285,5.0845,0.52932433,0.0,icsd-153303,"{19: 1, 13: 1, 1: 2, 6: 1, 8: 5}","[1, 6, 8, 13, 19]",126185131191,K1Al1H2C1O5
