formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Na10CaSn12,mp-30252,0.6648999999999998,3.36400633,0.0,icsd-240006,"{11: 10, 20: 1, 50: 12}","[11, 20, 50]",11102015012,Na10Ca1Sn12
Ca5P3H,mp-1105373,0.6829000000000001,4.46288287,0.0,icsd-429049,"{20: 5, 15: 3, 1: 1}","[1, 15, 20]",11153205,Ca5P3H1
CaHCl,mp-23859,3.8394000000000004,1.87769822,0.0,icsd-25601,"{20: 1, 1: 1, 17: 1}","[1, 17, 20]",11171201,Ca1H1Cl1
CaGaGeH,mp-1018093,0.5269000000000004,3.38434894,0.0,icsd-173567,"{20: 1, 31: 1, 32: 1, 1: 1}","[1, 20, 31, 32]",11201311321,Ca1Ga1Ge1H1
CaHBr,mp-24422,4.1152,0.7389192,0.0,icsd-25542,"{20: 1, 1: 1, 35: 1}","[1, 20, 35]",11201351,Ca1H1Br1
CaHI,mp-24204,3.5271000000000003,1.69700507,0.0,icsd-25545,"{20: 1, 1: 1, 53: 1}","[1, 20, 53]",11201531,Ca1H1I1
Ca5Ge3H,mp-643912,0.0,3.32548834,0.0,icsd-93705,"{20: 5, 32: 3, 1: 1}","[1, 20, 32]",11205323,Ca5Ge3H1
Ca5Sn3H,mp-1106280,0.0,4.02138812,0.0,icsd-165192,"{20: 5, 50: 3, 1: 1}","[1, 20, 50]",11205503,Ca5Sn3H1
Ca7(H6Cl)2,mp-984055,3.6946,1.28771908,0.0,icsd-420927,"{20: 7, 1: 12, 17: 2}","[1, 17, 20]",112172207,Ca7H12Cl2
Ca4(H4Rh)3,mp-697126,0.0,4.16752833,0.0,icsd-50518,"{20: 4, 1: 12, 45: 3}","[1, 20, 45]",112204453,Ca4H12Rh3
Ca(BH)12,mp-1196257,4.8911,2.84280377,0.0,icsd-247353,"{20: 1, 5: 12, 1: 12}","[1, 5, 20]",112512201,Ca1B12H12
Ca3B4(H4O)3,mp-1182037,4.7904,-0.6903716,0.0,icsd-182497,"{20: 3, 5: 4, 1: 12, 8: 3}","[1, 5, 8, 20]",1125483203,Ca3B4H12O3
CaAl6H12(SO7)4,mp-1194752,5.5902,1.56811749,0.0,icsd-5057,"{20: 1, 13: 6, 1: 12, 16: 4, 8: 28}","[1, 8, 13, 16, 20]",112828136164201,Ca1Al6H12S4O28
LiCa3As2H,mp-1192528,1.4416999999999995,2.72117019,0.0,icsd-251501,"{3: 1, 20: 3, 33: 2, 1: 1}","[1, 3, 20, 33]",1131203332,Li1Ca3As2H1
Na3Ca3AlAs4,mp-15572,0.9426000000000001,2.67369271,0.0,icsd-402309,"{11: 3, 20: 3, 13: 1, 33: 4}","[11, 13, 20, 33]",113131203334,Na3Ca3Al1As4
Na3Ca3AlSb4,mp-1190339,0.4586000000000001,3.66187123,0.0,icsd-291242,"{11: 3, 20: 3, 13: 1, 51: 4}","[11, 13, 20, 51]",113131203514,Na3Ca3Al1Sb4
LiCa2HC3,mp-1104693,1.2992,3.79123141,0.0,icsd-188224,"{3: 1, 20: 2, 1: 1, 6: 3}","[1, 3, 6, 20]",113163202,Li1Ca2H1C3
