formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
K2NaH10IO10,mp-695963,2.5046,-0.20443465,0.0,icsd-69554,"{19: 2, 11: 1, 1: 10, 53: 1, 8: 10}","[1, 8, 11, 19, 53]",110810111192531,K2Na1H10I1O10
K2NaAlP2,mp-9068,1.242,2.33952144,0.0,icsd-73279,"{19: 2, 11: 1, 13: 1, 15: 2}","[11, 13, 15, 19]",111131152192,K2Na1Al1P2
K2NaAlAs2,mp-9069,1.026,1.92259448,0.0,icsd-73280,"{19: 2, 11: 1, 13: 1, 33: 2}","[11, 13, 19, 33]",111131192332,K2Na1Al1As2
K2NaGaP2,mp-9666,1.3078999999999998,1.8715992,0.0,icsd-300112,"{19: 2, 11: 1, 31: 1, 15: 2}","[11, 15, 19, 31]",111152192311,K2Na1Ga1P2
K2NaInP2,mp-21511,1.0504000000000002,2.37766188,0.0,icsd-300132,"{19: 2, 11: 1, 49: 1, 15: 2}","[11, 15, 19, 49]",111152192491,K2Na1In1P2
KNaS,mp-28383,2.4851,0.65054934,0.0,icsd-62658,"{19: 1, 11: 1, 16: 1}","[11, 16, 19]",111161191,K1Na1S1
K2NaCrCl6,mp-1206266,1.3875000000000002,0.3681124,0.0,pf-40485,"{19: 2, 11: 1, 24: 1, 17: 6}","[11, 17, 19, 24]",111176192241,K2Na1Cr1Cl6
K3NaMnCl6,mp-1191678,2.4629000000000003,0.75205591,0.0,icsd-290109,"{19: 3, 11: 1, 25: 1, 17: 6}","[11, 17, 19, 25]",111176193251,K3Na1Mn1Cl6
KNaSe,mp-28595,2.0175,0.32915487,0.0,icsd-67278,"{19: 1, 11: 1, 34: 1}","[11, 19, 34]",111191341,K1Na1Se1
KNaTe,mp-8755,1.9491,1.03597546,0.0,icsd-67276,"{19: 1, 11: 1, 52: 1}","[11, 19, 52]",111191521,K1Na1Te1
K2NaGaAs2,mp-9676,0.8055000000000001,1.53270087,0.0,icsd-300129,"{19: 2, 11: 1, 31: 1, 33: 2}","[11, 19, 31, 33]",111192311332,K2Na1Ga1As2
K2NaInAs2,mp-21510,0.6228999999999998,2.0740857,0.0,icsd-300137,"{19: 2, 11: 1, 49: 1, 33: 2}","[11, 19, 33, 49]",111192332491,K2Na1In1As2
K2NaInSb2,mp-505767,0.5808,2.73102345,0.0,icsd-77181,"{19: 2, 11: 1, 49: 1, 51: 2}","[11, 19, 49, 51]",111192491512,K2Na1In1Sb2
K3NaSn3Se8,mp-628185,1.4211000000000003,1.32425782,0.0,icsd-280286,"{19: 3, 11: 1, 50: 3, 34: 8}","[11, 19, 34, 50]",111193348503,K3Na1Sn3Se8
