formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Li2Sn(H5O4)2,mp-1195757,4.465,3.89273369,0.0,icsd-188663,"{3: 2, 50: 1, 1: 10, 8: 8}","[1, 3, 8, 50]",1103288501,Li2Sn1H10O8
RbLiH12Se3N4,mp-866716,0.8006,0.60639806,0.0,icsd-413744,"{37: 1, 3: 1, 1: 12, 34: 3, 7: 4}","[1, 3, 7, 34, 37]",1123174343371,Rb1Li1H12Se3N4
LiTe(H3N)4,mp-773582,1.2814999999999999,0.5513294,0.0,icsd-409556,"{3: 1, 52: 1, 1: 12, 7: 4}","[1, 3, 7, 52]",1123174521,Li1Te1H12N4
Li4Zn(H2N)6,mp-1194891,2.6176,1.4801319,0.0,icsd-429150,"{3: 4, 30: 1, 1: 12, 7: 6}","[1, 3, 7, 30]",1123476301,Li4Zn1H12N6
LiH,mp-23703,2.981,-0.99767685,0.0,icsd-638265,"{3: 1, 1: 1}","[1, 3]",1131,Li1H1
LiHS,mp-644419,3.5253,-0.10720894,0.0,icsd-98020,"{3: 1, 1: 1, 16: 1}","[1, 3, 16]",1131161,Li1H1S1
LiCa3As2H,mp-1192528,1.4416999999999995,2.72117019,0.0,icsd-251501,"{3: 1, 20: 3, 33: 2, 1: 1}","[1, 3, 20, 33]",1131203332,Li1Ca3As2H1
Sr3LiAs2H,mp-1192357,1.4556,2.26704998,0.0,icsd-195634,"{38: 3, 3: 1, 33: 2, 1: 1}","[1, 3, 33, 38]",1131332383,Sr3Li1As2H1
LiHPd,mp-1018133,0.0,3.93875244,0.0,icsd-246613,"{3: 1, 1: 1, 46: 1}","[1, 3, 46]",1131461,Li1H1Pd1
NaLiSiB3HO8,mp-558267,5.0818,0.62636467,0.0,icsd-249311,"{11: 1, 3: 1, 14: 1, 5: 3, 1: 1, 8: 8}","[1, 3, 5, 8, 11, 14]",11315388111141,Na1Li1Si1B3H1O8
LiCa2HC3,mp-1104693,1.2992,3.79123141,0.0,icsd-188224,"{3: 1, 20: 2, 1: 1, 6: 3}","[1, 3, 6, 20]",113163202,Li1Ca2H1C3
LiHO,mp-23856,4.0057,-1.90379562,0.0,icsd-27543,"{3: 1, 1: 1, 8: 1}","[1, 3, 8]",113181,Li1H1O1
LiCa2Mn2Si5HO15,mp-1202461,3.4069000000000003,3.10937681,0.0,icsd-262127,"{3: 1, 20: 2, 25: 2, 14: 5, 1: 1, 8: 15}","[1, 3, 8, 14, 20, 25]",1131815145202252,Li1Ca2Mn2Si5H1O15
LiTlPHO3,mp-772968,3.7371999999999996,1.20583274,0.0,icsd-201040,"{3: 1, 81: 1, 15: 1, 1: 1, 8: 3}","[1, 3, 8, 15, 81]",113183151811,Li1Tl1P1H1O3
LiHSeO3,mp-23843,4.3019,-0.59750214,0.0,icsd-403078,"{3: 1, 1: 1, 34: 1, 8: 3}","[1, 3, 8, 34]",113183341,Li1H1Se1O3
LiHSO4,mp-643458,5.9636,-1.02322675,0.0,icsd-82373,"{3: 1, 1: 1, 16: 1, 8: 4}","[1, 3, 8, 16]",113184161,Li1H1S1O4
LiFePHO5,mp-756507,0.0,1.53120312,0.0,icsd-252074,"{3: 1, 26: 1, 15: 1, 1: 1, 8: 5}","[1, 3, 8, 15, 26]",113185151261,Li1Fe1P1H1O5
LiFeHSO5,mp-943462,3.6749,1.6775356,0.0,icsd-191101,"{3: 1, 26: 1, 1: 1, 16: 1, 8: 5}","[1, 3, 8, 16, 26]",113185161261,Li1Fe1H1S1O5
LiZnP2HO7,mp-1211621,4.4957,0.37234077,0.0,pf-3441,"{3: 1, 30: 1, 15: 2, 1: 1, 8: 7}","[1, 3, 8, 15, 30]",113187152301,Li1Zn1P2H1O7
LiCd2HSe2O7,mp-697926,3.1466,0.41580164,0.0,icsd-95790,"{3: 1, 48: 2, 1: 1, 34: 2, 8: 7}","[1, 3, 8, 34, 48]",113187342482,Li1Cd2H1Se2O7
LiHF2,mp-24199,8.0448,-3.44629557,0.0,icsd-23883,"{3: 1, 1: 1, 9: 2}","[1, 3, 9]",113192,Li1H1F2
Li2HN,mp-1189725,2.0831,0.50274726,0.0,icsd-168791,"{3: 2, 1: 1, 7: 1}","[1, 3, 7]",113271,Li2H1N1
Li2HIO,mp-643069,4.3237,-0.78516399,0.0,icsd-97316,"{3: 2, 1: 1, 53: 1, 8: 1}","[1, 3, 8, 53]",113281531,Li2H1I1O1
Li3TeHO4,mp-696949,3.3657999999999997,0.70784245,0.0,icsd-38036,"{3: 3, 52: 1, 1: 1, 8: 4}","[1, 3, 8, 52]",113384521,Li3Te1H1O4
Li4HN,mp-30228,2.0727,0.15169331,0.0,icsd-168794,"{3: 4, 1: 1, 7: 1}","[1, 3, 7]",113471,Li4H1N1
Li2SnH14Se3O7,mp-1195382,1.9732,1.59400007,0.0,icsd-193771,"{3: 2, 50: 1, 1: 14, 34: 3, 8: 7}","[1, 3, 8, 34, 50]",1143287343501,Li2Sn1H14Se3O7
Li3AsH16(SO2)4,mp-1196446,2.3283,-0.03714212,0.0,icsd-188667,"{3: 3, 33: 1, 1: 16, 16: 4, 8: 8}","[1, 3, 8, 16, 33]",1163388164331,Li3As1H16S4O8
LiZr3H18N4F19,mp-601344,6.3872,-2.8654918,0.0,icsd-152166,"{3: 1, 40: 3, 1: 18, 7: 4, 9: 19}","[1, 3, 7, 9, 40]",1183174919403,Li1Zr3H18N4F19
