formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Rb4Mg3H10,mp-24662,3.4271,-0.38746378,0.0,icsd-76501,"{37: 4, 12: 3, 1: 10}","[1, 12, 37]",110123374,Rb4Mg3H10
Cs4Mg3H10,mp-697948,3.2805,0.33736678,0.0,icsd-162262,"{55: 4, 12: 3, 1: 10}","[1, 12, 55]",110123554,Cs4Mg3H10
Ba2Mg3H10,mp-733604,3.0265000000000004,0.72886567,0.0,icsd-79589,"{56: 2, 12: 3, 1: 10}","[1, 12, 56]",110123562,Ba2Mg3H10
NaMgAs,mp-5962,0.9547999999999996,2.33059048,0.0,icsd-41798,"{11: 1, 12: 1, 33: 1}","[11, 12, 33]",111121331,Na1Mg1As1
NaMgSb,mp-7090,1.0359000000000003,3.3123485,0.0,icsd-41797,"{11: 1, 12: 1, 51: 1}","[11, 12, 51]",111121511,Na1Mg1Sb1
K6Na14MgTl18,mp-1198979,0.0253000000000001,3.10853957,0.0,icsd-404695,"{19: 6, 11: 14, 12: 1, 81: 18}","[11, 12, 19, 81]",11141211968118,K6Na14Mg1Tl18
Na2MgSn,mp-865625,0.0,2.83008426,0.0,icsd-262676,"{11: 2, 12: 1, 50: 1}","[11, 12, 50]",112121501,Na2Mg1Sn1
Na2MgPb,mp-1078372,0.0,2.83769639,0.0,icsd-238202,"{11: 2, 12: 1, 82: 1}","[11, 12, 82]",112121821,Na2Mg1Pb1
MgH12(NO6)2,mp-734042,3.5098000000000003,-1.57135616,0.0,icsd-80445,"{12: 1, 1: 12, 7: 2, 8: 12}","[1, 7, 8, 12]",11272812121,Mg1H12N2O12
RbMgP(H6O5)2,mp-604725,4.7947999999999995,-0.84566679,0.0,icsd-419834,"{37: 1, 12: 1, 15: 1, 1: 12, 8: 10}","[1, 8, 12, 15, 37]",112810121151371,Rb1Mg1P1H12O10
CsMgP(H6O5)2,mp-761178,4.8246,-0.78399607,0.0,icsd-281563,"{55: 1, 12: 1, 15: 1, 1: 12, 8: 10}","[1, 8, 12, 15, 55]",112810121151551,Cs1Mg1P1H12O10
MgTlP(H6O5)2,mp-554894,4.5212,-0.1512606,0.0,icsd-419837,"{12: 1, 81: 1, 15: 1, 1: 12, 8: 10}","[1, 8, 12, 15, 81]",112810121151811,Mg1Tl1P1H12O10
RbMgAs(H6O5)2,mp-559463,4.2177,-1.24334833,0.0,icsd-419835,"{37: 1, 12: 1, 33: 1, 1: 12, 8: 10}","[1, 8, 12, 33, 37]",112810121331371,Rb1Mg1As1H12O10
CsMgAs(H6O5)2,mp-1193046,4.2896,-1.23019297,0.0,icsd-260150,"{55: 1, 12: 1, 33: 1, 1: 12, 8: 10}","[1, 8, 12, 33, 55]",112810121331551,Cs1Mg1As1H12O10
MgTlAs(H6O5)2,mp-556009,4.3811,-0.46354088,0.0,icsd-419836,"{12: 1, 81: 1, 33: 1, 1: 12, 8: 10}","[1, 8, 12, 33, 81]",112810121331811,Mg1Tl1As1H12O10
MgH12(BrO6)2,mp-24006,4.9018,-1.65744368,0.0,icsd-79821,"{12: 1, 1: 12, 35: 2, 8: 12}","[1, 8, 12, 35]",112812121352,Mg1H12Br2O12
Rb2MgH12(SO7)2,mp-1203952,5.0565,4.04294627,0.0,icsd-409491,"{37: 2, 12: 1, 1: 12, 16: 2, 8: 14}","[1, 8, 12, 16, 37]",112814121162372,Rb2Mg1H12S2O14
Cs2MgH12(SO7)2,mp-542417,5.0352,-0.62302915,0.0,icsd-409737,"{55: 2, 12: 1, 1: 12, 16: 2, 8: 14}","[1, 8, 12, 16, 55]",112814121162552,Cs2Mg1H12S2O14
MgTl2H12(SO7)2,mp-1201988,4.6787,-0.23367978,0.0,icsd-710002,"{12: 1, 81: 2, 1: 12, 16: 2, 8: 14}","[1, 8, 12, 16, 81]",112814121162812,Mg1Tl2H12S2O14
K2MgH12(SeO7)2,mp-1198329,3.9456999999999995,2.41094584,0.0,icsd-409998,"{19: 2, 12: 1, 1: 12, 34: 2, 8: 14}","[1, 8, 12, 19, 34]",112814121192342,K2Mg1H12Se2O14
Rb2MgH12(SeO7)2,mp-780006,3.9236,-1.59538399,0.0,icsd-409719,"{37: 2, 12: 1, 1: 12, 34: 2, 8: 14}","[1, 8, 12, 34, 37]",112814121342372,Rb2Mg1H12Se2O14
Cs2MgH12(SeO7)2,mp-779875,3.8819999999999997,-1.35593512,0.0,icsd-409746,"{55: 2, 12: 1, 1: 12, 34: 2, 8: 14}","[1, 8, 12, 34, 55]",112814121342552,Cs2Mg1H12Se2O14
MgTl2H12(SeO7)2,mp-1197665,3.9844,-0.80106457,0.0,icsd-710008,"{12: 1, 81: 2, 1: 12, 34: 2, 8: 14}","[1, 8, 12, 34, 81]",112814121342812,Mg1Tl2H12Se2O14
CsMgH12(ClO2)3,mp-721171,4.9182,-2.00985591,0.0,icsd-66462,"{55: 1, 12: 1, 1: 12, 17: 3, 8: 6}","[1, 8, 12, 17, 55]",11286121173551,Cs1Mg1H12Cl3O6
MgZn2H12(BrO)6,mp-697121,3.6444,-1.82234188,0.0,icsd-49914,"{12: 1, 30: 2, 1: 12, 35: 6, 8: 6}","[1, 8, 12, 30, 35]",11286121302356,Mg1Zn2H12Br6O6
