formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
NiH10(SeO5)2,mp-1181715,3.8277,-0.76832714,0.0,icsd-79092,"{28: 1, 1: 10, 34: 2, 8: 10}","[1, 8, 28, 34]",110810281342,Ni1H10Se2O10
NaAl3NiCl12,mp-568785,1.2562,0.47908218,0.0,icsd-417871,"{11: 1, 13: 3, 28: 1, 17: 12}","[11, 13, 17, 28]",1111331712281,Na1Al3Ni1Cl12
NiH12(NO6)2,mp-1194565,3.1523,-1.08743213,0.0,icsd-429170,"{28: 1, 1: 12, 7: 2, 8: 12}","[1, 7, 8, 28]",11272812281,Ni1H12N2O12
NiH,mp-24719,0.0,7.87353784,0.0,icsd-56077,"{28: 1, 1: 1}","[1, 28]",11281,Ni1H1
NiH12(ClO6)2,mp-1180537,5.3144,3.75331698,0.0,icsd-67106,"{28: 1, 1: 12, 17: 2, 8: 12}","[1, 8, 17, 28]",112812172281,Ni1H12Cl2O12
K2NiH12(SO7)2,mp-24133,4.5955,3.98226843,0.0,icsd-4308,"{19: 2, 28: 1, 1: 12, 16: 2, 8: 14}","[1, 8, 16, 19, 28]",112814162192281,K2Ni1H12S2O14
Rb2NiH12(SO7)2,mp-24688,4.6009,3.94880012,0.0,icsd-409495,"{37: 2, 28: 1, 1: 12, 16: 2, 8: 14}","[1, 8, 16, 28, 37]",112814162281372,Rb2Ni1H12S2O14
Cs2NiH12(SO7)2,mp-542420,1.1409,2.12098417,0.0,icsd-51647,"{55: 2, 28: 1, 1: 12, 16: 2, 8: 14}","[1, 8, 16, 28, 55]",112814162281552,Cs2Ni1H12S2O14
Tl2NiH12(SO7)2,mp-1199808,4.653,-0.03060651,0.0,icsd-710006,"{81: 2, 28: 1, 1: 12, 16: 2, 8: 14}","[1, 8, 16, 28, 81]",112814162281812,Tl2Ni1H12S2O14
K2NiH12(SeO7)2,mp-1202063,3.6116,-1.09879751,0.0,icsd-710000,"{19: 2, 28: 1, 1: 12, 34: 2, 8: 14}","[1, 8, 19, 28, 34]",112814192281342,K2Ni1H12Se2O14
Rb2NiH12(SeO7)2,mp-24755,3.4289,2.42516085,0.0,icsd-409591,"{37: 2, 28: 1, 1: 12, 34: 2, 8: 14}","[1, 8, 28, 34, 37]",112814281342372,Rb2Ni1H12Se2O14
Tl2NiH12(SeO7)2,mp-1198362,3.8339,-0.30200717,0.0,icsd-710012,"{81: 2, 28: 1, 1: 12, 34: 2, 8: 14}","[1, 8, 28, 34, 81]",112814281342812,Tl2Ni1H12Se2O14
NiH12(BrO7)2,mp-690647,2.6391999999999998,-1.16915438,0.0,icsd-65047,"{28: 1, 1: 12, 35: 2, 8: 14}","[1, 8, 28, 35]",112814281352,Ni1H12Br2O14
LaNiSnH,mp-510577,0.0,8.69408074,0.0,icsd-157925,"{57: 1, 28: 1, 50: 1, 1: 1}","[1, 28, 50, 57]",11281501571,La1Ni1Sn1H1
