formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
SiH10(O2F3)2,mp-722246,6.5957,-2.97113968,0.0,icsd-40388,"{14: 1, 1: 10, 8: 4, 9: 6}","[1, 8, 9, 14]",1108496141,Si1H10O4F6
NaAlSi,mp-27335,0.0,4.47273968,0.0,icsd-182834,"{11: 1, 13: 1, 14: 1}","[11, 13, 14]",111131141,Na1Al1Si1
NaSi,mp-2402,1.1286,2.33663347,0.0,icsd-174082,"{11: 1, 14: 1}","[11, 14]",111141,Na1Si1
NaSiAu3,mp-13673,0.0,4.79684638,0.0,icsd-16462,"{11: 1, 14: 1, 79: 3}","[11, 14, 79]",111141793,Na1Si1Au3
NaSi2Pd3,mp-4276,0.0,5.15923969,0.0,icsd-41686,"{11: 1, 14: 2, 46: 3}","[11, 14, 46]",111142463,Na1Si2Pd3
Rb7NaSi8,mp-1202504,1.6935,1.28995168,0.0,icsd-423306,"{37: 7, 11: 1, 14: 8}","[11, 14, 37]",111148377,Rb7Na1Si8
Cs7NaSi8,mp-1199908,1.5773000000000001,1.96441599,0.0,icsd-427635,"{55: 7, 11: 1, 14: 8}","[11, 14, 55]",111148557,Cs7Na1Si8
SrAlSiH,mp-570485,0.6256999999999993,4.43495982,0.0,icsd-162863,"{38: 1, 13: 1, 14: 1, 1: 1}","[1, 13, 14, 38]",11131141381,Sr1Al1Si1H1
BaAlSiH,mp-571093,0.7092999999999998,3.87963666,0.0,icsd-162862,"{56: 1, 13: 1, 14: 1, 1: 1}","[1, 13, 14, 56]",11131141561,Ba1Al1Si1H1
BaGaSiH,mp-1008506,0.47920000000000007,3.35288238,0.0,icsd-173572,"{56: 1, 31: 1, 14: 1, 1: 1}","[1, 14, 31, 56]",11141311561,Ba1Ga1Si1H1
CeSiHRu,mp-604496,0.0,7.62361403,0.0,icsd-161825,"{58: 1, 14: 1, 1: 1, 44: 1}","[1, 14, 44, 58]",11141441581,Ce1Si1H1Ru1
Y5Si3H,mp-1189066,0.0,4.84906166,0.0,icsd-638464,"{39: 5, 14: 3, 1: 1}","[1, 14, 39]",11143395,Y5Si3H1
Na2In2SiS6,mp-1190138,2.2375,1.81625948,0.0,icsd-239707,"{11: 2, 49: 2, 14: 1, 16: 6}","[11, 14, 16, 49]",112141166492,Na2In2Si1S6
Na2Si2S5,mp-18104,3.5318,1.45906198,0.0,icsd-66867,"{11: 2, 14: 2, 16: 5}","[11, 14, 16]",112142165,Na2Si2S5
Na2Si2Se5,mp-18562,2.4355,1.10121777,0.0,icsd-49001,"{11: 2, 14: 2, 34: 5}","[11, 14, 34]",112142345,Na2Si2Se5
SiH12C2(NF)6,mp-697253,5.1979,-1.16257277,0.0,icsd-59237,"{14: 1, 1: 12, 6: 2, 7: 6, 9: 6}","[1, 6, 7, 9, 14]",112627696141,Si1H12C2N6F6
K2Na3SiP3,mp-541694,0.8900999999999999,1.94149242,0.0,icsd-300203,"{19: 2, 11: 3, 14: 1, 15: 3}","[11, 14, 15, 19]",113141153192,K2Na3Si1P3
Na3SiSe4,mp-28303,1.7548000000000001,1.07745785,0.0,icsd-60118,"{11: 3, 14: 1, 34: 4}","[11, 14, 34]",113141344,Na3Si1Se4
Na3SiTe3,mp-17291,1.8159,2.31161599,0.0,icsd-15579,"{11: 3, 14: 1, 52: 3}","[11, 14, 52]",113141523,Na3Si1Te3
NaLiSiB3HO8,mp-558267,5.0818,0.62636467,0.0,icsd-249311,"{11: 1, 3: 1, 14: 1, 5: 3, 1: 1, 8: 8}","[1, 3, 5, 8, 11, 14]",11315388111141,Na1Li1Si1B3H1O8
LiCa2Mn2Si5HO15,mp-1202461,3.4069000000000003,3.10937681,0.0,icsd-262127,"{3: 1, 20: 2, 25: 2, 14: 5, 1: 1, 8: 15}","[1, 3, 8, 14, 20, 25]",1131815145202252,Li1Ca2Mn2Si5H1O15
Na4Mg(SiSe3)2,mp-1103351,2.7632000000000003,1.79424014,0.0,icsd-239113,"{11: 4, 12: 1, 14: 2, 34: 6}","[11, 12, 14, 34]",114121142346,Na4Mg1Si2Se6
Na4SiSe4,mp-30931,2.1322,0.97346008,0.0,icsd-409726,"{11: 4, 14: 1, 34: 4}","[11, 14, 34]",114141344,Na4Si1Se4
Na4Si2Te5,mp-569337,1.8779000000000003,2.59968701,0.0,icsd-38049,"{11: 4, 14: 2, 52: 5}","[11, 14, 52]",114142525,Na4Si2Te5
NaBeSi3HO8,mp-556001,5.2827,1.90121543,0.0,icsd-160817,"{11: 1, 4: 1, 14: 3, 1: 1, 8: 8}","[1, 4, 8, 11, 14]",114188111143,Na1Be1Si3H1O8
SiH14(OF)6,mp-1209032,6.2972,3.38951448,0.0,pf-20843,"{14: 1, 1: 14, 8: 6, 9: 6}","[1, 8, 9, 14]",1148696141,Si1H14O6F6
Na5SiP3,mp-5929,1.1432000000000002,2.80266352,0.0,icsd-60077,"{11: 5, 14: 1, 15: 3}","[11, 14, 15]",115141153,Na5Si1P3
Na5SiAs3,mp-18139,1.0276999999999998,2.28241386,0.0,icsd-300188,"{11: 5, 14: 1, 33: 3}","[11, 14, 33]",115141333,Na5Si1As3
Na6Si2Se7,mp-16961,2.1551,1.01075453,0.0,icsd-300236,"{11: 6, 14: 2, 34: 7}","[11, 14, 34]",116142347,Na6Si2Se7
SiH17S3N5,mp-557080,3.344,0.1764319,0.0,icsd-420001,"{14: 1, 1: 17, 16: 3, 7: 5}","[1, 7, 14, 16]",11775141163,Si1H17S3N5
K2InSi4HO11,mp-775466,3.7414000000000005,1.07492053,0.0,icsd-281432,"{19: 2, 49: 1, 14: 4, 1: 1, 8: 11}","[1, 8, 14, 19, 49]",11811144192491,K2In1Si4H1O11
K2NaCa2TiSi7HO20,mp-720410,3.4517,4.58713428,0.0,icsd-10502,"{19: 2, 11: 1, 20: 2, 22: 1, 14: 7, 1: 1, 8: 20}","[1, 8, 11, 14, 19, 20, 22]",11820111147192202221,K2Na1Ca2Ti1Si7H1O20
KSiHO3,mp-707195,4.768199999999999,0.14661194,0.0,icsd-30892,"{19: 1, 14: 1, 1: 1, 8: 3}","[1, 8, 14, 19]",1183141191,K1Si1H1O3
NaCaSiHO4,mp-634418,4.4923,1.42958548,0.0,icsd-97911,"{11: 1, 20: 1, 14: 1, 1: 1, 8: 4}","[1, 8, 11, 14, 20]",1184111141201,Na1Ca1Si1H1O4
NaZnSiHO4,mp-699219,3.4269,0.67180708,0.0,icsd-88001,"{11: 1, 30: 1, 14: 1, 1: 1, 8: 4}","[1, 8, 11, 14, 30]",1184111141301,Na1Zn1Si1H1O4
Rb5SiHO5,mp-861513,2.5914,0.76175811,0.0,icsd-417054,"{37: 5, 14: 1, 1: 1, 8: 5}","[1, 8, 14, 37]",1185141375,Rb5Si1H1O5
KSi2HO5,mp-1203642,5.0122,-0.01856024,0.0,icsd-23516,"{19: 1, 14: 2, 1: 1, 8: 5}","[1, 8, 14, 19]",1185142191,K1Si2H1O5
NaCa2Si3HO9,mp-23792,4.848599999999999,1.6570081,0.0,icsd-34945,"{11: 1, 20: 2, 14: 3, 1: 1, 8: 9}","[1, 8, 11, 14, 20]",1189111143202,Na1Ca2Si3H1O9
Na2AlSi3HO9,mp-706617,4.671099999999999,0.8012375,0.0,icsd-6265,"{11: 2, 13: 1, 14: 3, 1: 1, 8: 9}","[1, 8, 11, 13, 14]",1189112131143,Na2Al1Si3H1O9
MgSiP2,mp-2961,1.3728000000000007,4.14841178,0.0,icsd-44108,"{12: 1, 14: 1, 15: 2}","[12, 14, 15]",121141152,Mg1Si1P2
MgCu2SiS4,mp-1205334,1.6730999999999998,6.39492819,0.0,icsd-425554,"{12: 1, 29: 2, 14: 1, 16: 4}","[12, 14, 16, 29]",121141164292,Mg1Cu2Si1S4
